Continuum,Rank,Sub-Continuum,Year,Male_Edits,Female_Edits,NB_Edits,Male_Words,Female_Words,NB_Words
Domestic,1,Baby Care,2005,1,1,2,429,544,16
Domestic,1,Baby Care,2006,4,1,1,1981,836,17
Domestic,1,Baby Care,2007,8,4,1,1266,734,6
Domestic,1,Baby Care,2008,2,1,1,1632,378,16
Domestic,1,Baby Care,2009,7,2,3,1881,364,11
Domestic,1,Baby Care,2010,4,1,1,1778,954,9
Domestic,1,Baby Care,2011,1,1,1,3094,902,13
Domestic,1,Baby Care,2012,2,1,1,496,156,6
Domestic,1,Baby Care,2013,3,2,6,2894,156,8
Domestic,1,Baby Care,2014,6,1,1,637,726,7
Domestic,1,Baby Care,2015,7,2,1,954,674,8
Domestic,1,Baby Care,2016,4,2,6,2444,464,3
Domestic,1,Baby Care,2017,8,3,4,1068,952,7
Domestic,1,Baby Care,2018,8,3,1,2652,561,16
Domestic,1,Baby Care,2019,3,3,1,3389,207,18
Domestic,1,Baby Care,2020,2,4,1,2134,606,12
Domestic,1,Baby Care,2021,4,1,3,1507,967,18
Domestic,1,Baby Care,2022,6,1,1,2211,216,17
Domestic,1,Baby Care,2023,7,1,2,2697,621,3
Domestic,1,Baby Care,2024,4,2,1,2092,663,18
Domestic,1,Baby Care,2025,1,1,1,3452,328,14
Domestic,1,Baby Care,2026,1,3,3,3232,778,11
Domestic,1,Towel Origami,2005,1,1,1,66,214,14
Domestic,1,Towel Origami,2006,3,1,1,62,159,22
Domestic,1,Towel Origami,2007,6,1,1,64,33,24
Domestic,1,Towel Origami,2008,6,1,2,53,174,22
Domestic,1,Towel Origami,2009,1,1,1,86,88,27
Domestic,1,Towel Origami,2010,1,1,1,12,276,28
Domestic,1,Towel Origami,2011,1,1,6,43,248,27
Domestic,1,Towel Origami,2012,1,4,1,68,211,12
Domestic,1,Towel Origami,2013,4,1,1,38,244,9
Domestic,1,Towel Origami,2014,1,1,1,62,44,18
Domestic,1,Towel Origami,2015,6,1,1,29,171,31
Domestic,1,Towel Origami,2016,1,1,6,42,39,26
Domestic,1,Towel Origami,2017,3,1,1,18,212,28
Domestic,1,Towel Origami,2018,2,2,2,79,243,16
Domestic,1,Towel Origami,2019,1,1,1,21,121,16
Domestic,1,Towel Origami,2020,4,3,6,14,247,24
Domestic,1,Towel Origami,2021,1,6,1,91,169,6
Domestic,1,Towel Origami,2022,1,1,1,17,199,6
Domestic,1,Towel Origami,2023,6,1,3,79,269,32
Domestic,1,Towel Origami,2024,1,1,1,58,32,29
Domestic,1,Towel Origami,2025,1,2,4,89,116,31
Domestic,1,Towel Origami,2026,1,1,1,31,86,19
Domestic,2,Baking,2005,2,3,1,738,76,69
Domestic,2,Baking,2006,1,1,3,1072,154,62
Domestic,2,Baking,2007,1,3,1,827,104,274
Domestic,2,Baking,2008,1,1,1,852,87,303
Domestic,2,Baking,2009,2,3,1,709,111,331
Domestic,2,Baking,2010,1,1,1,754,166,212
Domestic,2,Baking,2011,2,1,1,956,406,154
Domestic,2,Baking,2012,4,3,2,664,207,351
Domestic,2,Baking,2013,2,3,1,876,126,209
Domestic,2,Baking,2014,3,3,1,1102,258,89
Domestic,2,Baking,2015,2,2,2,453,269,46
Domestic,2,Baking,2016,6,2,1,569,219,111
Domestic,2,Baking,2017,1,3,1,553,172,236
Domestic,2,Baking,2018,4,2,1,427,222,256
Domestic,2,Baking,2019,4,3,4,156,103,79
Domestic,2,Baking,2020,3,1,1,1146,511,129
Domestic,2,Baking,2021,2,3,1,397,361,206
Domestic,2,Baking,2022,6,3,1,487,267,278
Domestic,2,Baking,2023,1,2,1,651,174,333
Domestic,2,Baking,2024,4,2,1,186,248,162
Domestic,2,Baking,2025,4,3,1,951,277,347
