Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34139355,"09:11, 13 March 2026",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
34088873,"18:02, 19 February 2026",MiscBot,False,deletion,active,,-76,(Removing Related Articles section)
34072895,"00:47, 19 February 2026",MiscBot,False,revert,active,,78,(Reverting the Related Articles section removal)
34056977,"17:33, 18 February 2026",MiscBot,False,deletion,active,,-78,(Removing Related Articles section)
33178582,"18:35, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32666944,"18:08, 21 July 2024",WikiHow Horizon,False,deletion,active,,-233,(Removing broken link/s)
31167817,"07:42, 14 December 2022",WikiHow Projects,False,deletion,active,,-207,(removing broken links)
30425948,"08:01, 29 March 2022",70.162.236.66,False,adjustment,active,,0,
29779439,"12:19, 4 August 2021",MiscBot,False,deletion,active,,-8,(Automatic category consolidation.)
29529379,"19:42, 7 May 2021",71.34.11.56,False,addition,active,,120,
29499150,"03:41, 1 May 2021",Wikivisual,False,addition,active,,78,(Saving new step-by-step photos)
29387002,"08:53, 27 March 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29358873,"21:50, 19 March 2021",Seymour Edits,False,addition,active,,156,(adding expert citations)
29230944,"21:14, 18 February 2021",Seymour Edits,False,addition,active,,43,(NCA edit.)
29169605,"22:07, 3 February 2021",Ll,False,adjustment,active,,0,
29169587,"22:03, 3 February 2021",Ll,False,adjustment,active,,0,
28255109,"13:08, 16 June 2020",WikiHow Projects,False,deletion,active,,-270,(removing broken links)
26993917,"10:07, 27 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26274952,"01:12, 29 March 2019",Anna,False,revert,active,,-67,(RCP reverted edits by Derpifox Derpix (talk) to  revision #26252962 by MiscBot)
26270734,"00:49, 29 March 2019",WikiFox14,False,addition,active,,67,(New tip approved in Tips Patrol)
26252962,"23:31, 28 March 2019",MiscBot,False,sourcing,reverted,Anna,-11,(Updating References section name to match new sitewide conventions)
25608416,"21:57, 16 November 2018",Aiosis,False,revert,active,,11369,(Reverted edits by IGrossOutDogs1337 (Talk); changed back to last version by Flickety)
25608355,"21:43, 16 November 2018",WikiHowUser20210426170747,False,major_deletion,active,,-11369,(Removing all content from page)
25386033,"11:41, 9 October 2018",Flickety,False,addition,reverted,Aiosis,8,(Change to appropriate sub-category)
24432558,"13:03, 24 April 2018",WikiHow Expert Review,False,major_addition,active,,940,(Incorporating expert feedback)
22723527,"00:33, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-71,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21604324,"09:45, 4 January 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21064896,"08:36, 3 October 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20893049,"08:39, 2 September 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20516248,"08:37, 2 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20296730,"19:43, 26 May 2016",Wikivisual,False,major_addition,active,,533,(Saving new step-by-step photos)
20112264,"01:19, 28 April 2016",OoT2D,False,addition,active,,11,
20112167,"01:10, 28 April 2016",Udit007,False,addition,active,,46,(Adding video via video picker tool)
19854713,"08:47, 21 March 2016",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
19393635,"02:15, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-128,(Removing redundant wikitext from Related wikiHows section)
19213811,"23:01, 5 January 2016",Seymour Edits,False,sourcing,active,,8630,(expanded into multiple parts and added sources)
17986890,"07:50, 28 July 2015",MiscBot,False,deletion,reverted,Anna,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17765565,"18:21, 8 July 2015",Stub Bot,False,addition,active,,24,(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note here.)
16561136,"18:57, 5 February 2015",MiscBot,False,cleanup,reverted,Anna,1,(Correcting spelling and/or grammar.)
10697154,"22:52, 6 August 2013",MiscBot,False,deletion,reverted,Anna,-14,(Removing nointroimg template)
9818984,"19:07, 6 May 2013",Wikiphoto,False,addition,active,,14,(Adding {{nointroimg}} template and removing intro images)
9786029,"07:15, 3 May 2013",Wikiphoto,False,addition,active,,47,(Enlarging and centering Steps photos)
9786028,"07:15, 3 May 2013",Wikiphoto,False,addition,active,,194,(Saving new step-by-step photos)
9336809,"03:55, 5 March 2013",Zygomatt,False,revert,active,,-276,(Reverted edits by 67.5.202.158 (Talk); changed back to last version by Sydney Amber)
9335902,"03:30, 5 March 2013",67.5.202.158,False,addition,reverted,Zygomatt,276,(→‎Steps)
7753711,"20:42, 13 May 2012",Sydney Amber,False,addition,reverted,Zygomatt,2,(Edits from the spell checker tool)
7491170,"15:48, 26 March 2012",Dancing Fish,False,addition,active,,72,(Edit via Image Picker: Added an image)
6932816,"08:25, 27 November 2011",KiwiHow,False,addition,active,,277,(Related wikiHows (appproved by Maniac))
5516127,"23:38, 20 January 2011",Ttrimm,False,adjustment,active,,0,(editing article via New Article Boost feature)
5499653,"03:29, 17 January 2011",Smile.71627,False,addition,active,,26,(categorization)
5498967,"00:28, 17 January 2011",LilibeanP,False,major_addition,active,,826,(Creating new article)
