Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33920442,"00:02, 22 December 2025",MiscBot,False,deletion,active,,-136,(Automatic external link checking: updating and/or deleting links that are broken)
30762140,"02:21, 8 August 2022",Wikivisual,False,addition,active,,60,(Saving new step-by-step photos)
29622109,"10:05, 3 June 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29615795,"17:58, 1 June 2021",Chris H,False,deletion,active,,-40,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
29449355,"19:32, 15 April 2021",Chris H,False,addition,active,,40,(Moving article to quality review. Disagree? Contact me or leave a note here.)
28567936,"10:14, 3 September 2020",RelatedWikihowsBot,False,deletion,active,,-35,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28328026,"09:59, 2 July 2020",RelatedWikihowsBot,False,deletion,active,,-19,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26260328,"00:02, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24051443,"03:24, 17 February 2018",WikiHow Intern,False,deletion,active,,-24,(Change to appropriate sub-category)
22951557,"11:58, 1 August 2017",Adisjp,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
22949266,"23:55, 31 July 2017",Minecraft.34,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
22942588,"05:41, 31 July 2017",Wikivisual,False,major_addition,active,,660,(Saving new step-by-step photos)
22922949,"05:42, 27 July 2017",Seymour Edits,False,major_addition,active,,1429,
22828388,"03:39, 12 July 2017",Seymour Edits,False,addition,active,,1,
22828387,"03:38, 12 July 2017",Seymour Edits,False,deletion,active,,-186,
22814957,"09:13, 10 July 2017",SarahB,False,revert,active,,-1,(Reverted edits by Sarajems2 (Talk); changed back to last version by Seymour Edits)
22814928,"09:00, 10 July 2017",Sarajems2,False,cleanup,reverted,SarahB,1,(Fixing misspellings via the Spellchecker tool)
22814152,"05:25, 10 July 2017",Seymour Edits,False,major_addition,reverted,SarahB,3166,"(Expanded content into parts, added more steps)"
22722840,"00:30, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-49,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22673363,"10:50, 23 June 2017",Doka delly,False,deletion,active,,-42,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
22669902,"18:42, 22 June 2017",Wiki.How.1,False,addition,active,,44,(Adding video via video picker tool)
19325949,"23:48, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-178,(Removing redundant wikitext from Related wikiHows section)
16095577,"13:25, 8 December 2014",Wikivisual,False,addition,active,,380,(Saving new step-by-step photos)
12353161,"19:31, 9 January 2014",WikiHowUser20221012045502,False,deletion,active,,-14,(Updating old title link to reflect current article redirect)
6651589,"00:42, 20 September 2011",Wendy Weaver,False,addition,active,,60,(Weaving the web of links)
6461083,"03:58, 7 August 2011",WRM,False,sourcing,active,,-244,(→‎Sources and Citations)
6334354,"13:16, 11 July 2011",Wendy Weaver,False,addition,active,,50,(Weaving the web of links)
6272635,"01:02, 28 June 2011",WikiHowUser20221012045502,False,addition,active,,306,(Relateds)
5359620,"19:53, 10 December 2010",Carolyn Barratt,False,addition,active,,47,(categorization)
5358709,"16:21, 10 December 2010",WRM,False,major_addition,active,,3130,(Creating new article)
