Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33429763,"18:03, 27 May 2025",MiscBot,False,deletion,active,,-204,(Automatic external link checking: updating and/or deleting links that are broken)
33183888,"19:46, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32830999,"23:05, 3 October 2024",WikiHow Horizon,False,addition,active,,2,(Updated link/s)
32639792,"02:40, 10 July 2024",WikiHow Horizon,False,addition,active,,6,(Updated link/s)
32639790,"02:39, 10 July 2024",WikiHow Horizon,False,deletion,active,,-47,(Removing broken link/s)
32551362,"00:49, 4 June 2024",WikiHow Horizon,False,deletion,active,,-124,(Removing broken link/s)
32301822,"23:56, 19 February 2024",WikiHow Horizon 3,False,addition,active,,18,(Updated link/s)
32080662,"01:14, 19 November 2023",WikiHow Horizon,False,addition,active,,88,(Updated link/s)
30588612,"23:36, 31 May 2022",EpcotMagic,False,deletion,active,,-4,(rm broken article link - no such article)
30583629,"07:57, 30 May 2022",49.205.183.67,False,addition,active,,4,
28326943,"09:39, 2 July 2020",RelatedWikihowsBot,False,deletion,active,,-28,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27723575,"04:17, 13 February 2020",WikiHow Projects,False,deletion,active,,-348,(removing broken link)
26327057,"05:50, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24635554,"22:01, 23 May 2018",Seymour Edits,False,addition,active,,155,(Added the Summary template to this article)
24165251,"20:10, 6 March 2018",Anna,False,revert,active,,-171,(RCP reverted edits by 104.129.198.90 (talk) to  revision #24091659 by WikiHow Intern)
24160918,"00:14, 6 March 2018",104.129.198.90,False,addition,reverted,Anna,171,(→‎Tips)
24091659,"01:35, 24 February 2018",WikiHow Intern,False,deletion,reverted,Anna,-18,(Change to appropriate sub-categories)
22932894,"21:21, 28 July 2017",ExoticComet,False,cleanup,active,,-20,(typos fixed: full time → full-time)
22925896,"17:27, 27 July 2017",WikiHow Expert Review,False,addition,active,,140,(in)
22862557,"01:10, 18 July 2017",Flickety,False,addition,active,,51,(Change to appropriate sub-category)
22666612,"05:16, 22 June 2017",Seymour Edits,False,deletion,active,,-1,(Incorporating expert feedback)
22230962,"03:46, 15 April 2017",101.127.165.6,False,adjustment,active,,0,
22230959,"03:44, 15 April 2017",101.127.165.6,False,deletion,active,,-4,
22171636,"22:31, 3 April 2017",WikiHowUser20230227233914,False,addition,active,,6,(adding fa tag)
22045758,"18:28, 14 March 2017",Anna,False,adjustment,active,,0,(image location)
21769356,"20:37, 30 January 2017",Donagan,False,addition,active,,8,(Edit from Article Greenhouse: TOPIC)
19736234,"04:53, 1 March 2016",WikiHow Projects,False,major_addition,active,,665,(→‎Steps:  added images)
19398126,"03:29, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-61,(Removing redundant wikitext from Related wikiHows section)
18999000,"09:47, 5 December 2015",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
18846552,"16:27, 12 November 2015",Seymour Edits,False,major_addition,active,,1782,
18823648,"21:29, 9 November 2015",Seymour Edits,False,sourcing,active,,-1107,(expanded into multiple parts and added sources)
18230993,"06:40, 15 August 2015",HumanBeing,False,revert,active,,-6,(RCP reverted edits by 87.203.192.233 (talk) to  revision #18106161 by MiscBot)
18230961,"06:26, 15 August 2015",87.203.192.233,False,addition,reverted,HumanBeing,6,(Editing from step editor)
18106161,"13:29, 29 July 2015",MiscBot,False,deletion,reverted,HumanBeing,-294,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17974704,"20:16, 27 July 2015",InterwikiBot,False,deletion,active,,-242,"(Removing interwiki links, no longer needed in wikitext)"
