Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32422975,"17:13, 8 April 2024",Hopedemi,False,revert,active,,301,(Expert Interview Section added.)
32397940,"08:57, 29 March 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32378630,"01:55, 21 March 2024",Seymour Edits,False,addition,active,,227,(Added expert citations.)
31544785,"07:19, 19 April 2023",WikiHow Projects,False,addition,active,,2,(updating link)
28159655,"09:30, 25 May 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26293548,"02:34, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
23162359,"09:41, 5 September 2017",Wikivisual,False,major_addition,active,,570,(Saving new step-by-step photos)
20134246,"08:42, 1 May 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18740818,"08:42, 28 October 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17912572,"22:03, 24 July 2015",InterwikiBot,False,deletion,active,,-33,"(Removing interwiki links, no longer needed in wikitext)"
17202897,"13:03, 25 April 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16712023,"14:43, 22 February 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15958818,"14:54, 21 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14456795,"17:16, 6 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14146653,"17:26, 6 July 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13953350,"22:29, 17 June 2014",EpcotMagic,False,addition,active,,43,(Adding video via video picker tool)
12552667,"20:09, 30 January 2014",Votebot,False,deletion,active,,-4,(reordering tips and warnings based on votes)
11651499,"16:44, 2 November 2013",Votebot,False,addition,active,,4,(reordering tips and warnings based on votes)
10672400,"15:55, 4 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10381001,"15:29, 5 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10241669,"16:42, 20 June 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9827146,"15:46, 7 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9339852,"05:20, 5 March 2013",InterwikiBot,False,deletion,active,,-2,(Adding interwiki link)
6701059,"14:36, 3 October 2011",WikiHowUser20221012045502,False,adjustment,active,,0,(categorization)
6630566,"21:11, 14 September 2011",WikiHow Traduce,False,addition,active,,35,
6041715,"07:28, 21 May 2011",Harri,False,addition,active,,37,(categorization)
5928673,"01:50, 27 April 2011",Help21,False,addition,active,,111,(Added Image using ImageAdder Tool)
5917113,"21:00, 24 April 2011",WRM,False,major_addition,active,,3113,(Creating new article)
