Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33430461,"21:00, 27 May 2025",Mechanical Garden,False,addition,active,,56,(Adding video via video picker tool)
33178852,"18:39, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32669397,"15:01, 22 July 2024",Wikivisual,False,deletion,active,,-10,(Saving new step-by-step photos)
31266605,"10:08, 16 January 2023",Seymour Edits,False,addition,active,,129,(Added expert citations.)
28620123,"05:39, 16 September 2020",Seymour Edits,False,deletion,active,,-47,(Link cleanup.)
27523509,"08:17, 24 December 2019",Seymour Edits,False,sourcing,active,,799,(Added sources for the wikihaus content team.)
27387207,"00:29, 20 November 2019",Caitlynn L,False,revert,active,,-135,(RCP reverted edits by 198.2.110.71 (talk) to  revision #27331382 by JayneG)
27387175,"00:22, 20 November 2019",198.2.110.71,False,addition,reverted,Caitlynn L,135,
27331382,"16:53, 7 November 2019",JayneG,False,revert,reverted,Caitlynn L,-75,(Reverted edits by 198.2.110.71 (Talk); changed back to last version by MiscBot)
27327325,"04:04, 7 November 2019",198.2.110.71,False,addition,reverted,Caitlynn L,75,
26297875,"02:53, 29 March 2019",MiscBot,False,sourcing,reverted,JayneG,-11,(Updating References section name to match new sitewide conventions)
23884049,"17:52, 18 January 2018",WikiHow Intern,False,deletion,active,,-8,(Change to appropriate sub-category)
23783213,"00:33, 29 December 2017",InfernoTerra,False,revert,active,,5,(Reverted edits by InfernoTerra (Talk); changed back to last version by Jasonlight)
23783189,"00:27, 29 December 2017",InfernoTerra,False,revert,reverted,InfernoTerra,-5,(RCP reverted edits by Jasonlight (talk) to  revision #22736480 by RelatedWikihowsBot)
23783184,"00:24, 29 December 2017",Jasonlight,False,sourcing,reverted,InfernoTerra,-1,(→‎Sources and Citations)
23783182,"00:24, 29 December 2017",Jasonlight,False,sourcing,reverted,InfernoTerra,6,(→‎Sources and Citations)
22736480,"04:03, 27 June 2017",RelatedWikihowsBot,False,deletion,reverted,InfernoTerra,-68,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
19358732,"03:39, 9 January 2016",RelatedWikihowsBot,False,deletion,reverted,InfernoTerra,-107,(Removing redundant wikitext from Related wikiHows section)
18094928,"07:44, 29 July 2015",MiscBot,False,deletion,reverted,JayneG,-364,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16985094,"16:46, 29 March 2015",GeekySonic,False,revert,active,,-64,(RCP reverted edits by Theqavish (talk) to  revision #16394425 by Anna)
16984897,"16:06, 29 March 2015",Theqavish,False,sourcing,reverted,GeekySonic,64,(→‎Sources and Citations)
16394425,"23:18, 16 January 2015",Anna,False,revert,reverted,GeekySonic,-53,(Reverted edits by 39.32.220.43 (Talk); changed back to last version by Wikivisual)
16386192,"19:32, 15 January 2015",39.32.220.43,False,addition,reverted,Anna,53,
15339837,"08:41, 12 September 2014",Wikivisual,False,addition,reverted,Anna,208,(Enlarging and centering Steps photos)
15339836,"08:41, 12 September 2014",Wikivisual,False,addition,reverted,Anna,41,(Saving new step-by-step photos)
14428212,"22:21, 3 August 2014",CelesteTu,False,addition,active,,75,(Adding related wikihow from NAB)
13679469,"04:07, 22 May 2014",Ttrimm,False,deletion,active,,-17,(editing article via New Article Boost feature)
12870731,"15:27, 3 March 2014",Wikiphoto,False,addition,active,,235,(Enlarging and centering Steps photos)
12870730,"15:26, 3 March 2014",Wikiphoto,False,major_addition,active,,1665,(Saving new step-by-step photos)
12808365,"22:45, 25 February 2014",MiscBot,False,deletion,reverted,JayneG,-38,(Adding parts/methods magic word.)
10921027,"00:42, 26 August 2013",WikiHowUser20221012045502,False,deletion,active,,-72,
10687187,"02:56, 6 August 2013",WikiHowUser20221012045502,False,addition,active,,35,(categorization)
10677114,"06:15, 5 August 2013",Jasonlight,False,addition,reverted,InfernoTerra,133,((HTML5))
10677106,"06:13, 5 August 2013",Jasonlight,False,major_addition,reverted,InfernoTerra,4984,(Creating a new article (HTML5))
