Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33184083,"19:49, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32239323,"12:56, 27 January 2024",WikiHow Horizon,False,deletion,active,,-132,(Removing broken link/s)
32237768,"17:50, 26 January 2024",Wikivisual,False,addition,active,,91,(Saving new step-by-step photos)
32237758,"17:44, 26 January 2024",Wikivisual,False,addition,active,,47,(Video added via Video Embed Helper Tool)
32153876,"15:45, 21 December 2023",WikiHow Horizon 3,False,addition,active,,1,(http ► https)
29521753,"10:43, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-49,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28328273,"10:04, 2 July 2020",RelatedWikihowsBot,False,deletion,active,,-80,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27635961,"21:40, 23 January 2020",Wikiphoto,False,deletion,active,,-211,(changing some videos to static images)
27473650,"17:35, 10 December 2019",Snowpool,False,revert,active,,7,(RCP reverted edits by 161.132.77.15 (talk) to  revision #27473034 by VY)
27473043,"15:10, 10 December 2019",161.132.77.15,False,deletion,reverted,Snowpool,-6,
27473035,"15:09, 10 December 2019",161.132.77.15,False,deletion,reverted,Snowpool,-1,
27473034,"15:08, 10 December 2019",WikiHowUser20220204205835,False,revert,reverted,Snowpool,141,(RCP reverted edits by 161.132.77.15 (talk) to  revision #27468901 by KernelPone)
27473032,"15:08, 10 December 2019",161.132.77.15,False,addition,reverted,Snowpool,8,
27473026,"15:07, 10 December 2019",161.132.77.15,False,deletion,reverted,Snowpool,-149,
27468901,"18:48, 9 December 2019",KernelPone,False,revert,reverted,WikiHowUser20220204205835,5701,(Reverted edits by Flamingfag69 (Talk); changed back to last version by Zodi)
27468657,"18:11, 9 December 2019",WHuser080320,False,major_deletion,active,,-5701,
27462298,"15:35, 8 December 2019",Zodi,False,revert,reverted,KernelPone,4952,(Reverted edits by HugegiganticFAGGOT (Talk); changed back to last version by Zodi)
27462295,"15:34, 8 December 2019",Hugegigantic,False,revert,reverted,Zodi,-4952,(Reverted edits by Zodi (Talk); changed back to last version by HugegiganticFAGGOT)
27462291,"15:34, 8 December 2019",Zodi,False,revert,reverted,KernelPone,4952,(Reverted edits by HugegiganticFAGGOT (Talk); changed back to last version by Zodi)
27462278,"15:32, 8 December 2019",Hugegigantic,False,major_deletion,reverted,Zodi,-4952,
27462237,"15:31, 8 December 2019",Zodi,False,revert,reverted,KernelPone,4811,(Reverted edits by HugegiganticFAGGOT (Talk); changed back to last version by FlowerPower555)
27462014,"15:04, 8 December 2019",Hugegigantic,False,revert,reverted,Zodi,-4811,(Reverted edits by FlowerPower555 (Talk); changed back to last version by HugegiganticFAGGOT)
27461994,"14:58, 8 December 2019",FlowerPower555,False,revert,reverted,Zodi,4811,(Reverted edits by HugegiganticFAGGOT (Talk); changed back to last version by StrayCatz)
27461988,"14:57, 8 December 2019",Hugegigantic,False,revert,reverted,Zodi,-4811,(Reverted edits by StrayCatz (Talk); changed back to last version by HugegiganticFAGGOT)
27461984,"14:56, 8 December 2019",StrayCatz,False,revert,reverted,FlowerPower555,4811,(Reverted edits by HugegiganticFAGGOT (Talk); changed back to last version by Maïli)
27461975,"14:55, 8 December 2019",Hugegigantic,False,major_deletion,reverted,Zodi,-4811,
27460364,"22:02, 7 December 2019",Maïli,False,revert,reverted,StrayCatz,-1718,(RCP reverted edits by 109.70.100.21 (talk) to  revision #27460250 by Galactic Radiance)
27460356,"22:00, 7 December 2019",109.70.100.21,False,major_addition,reverted,Maïli,1718,
27460250,"21:24, 7 December 2019",WikiHowUser20230227233914,False,revert,reverted,Maïli,3669,(RCP reverted edits by 109.70.100.20 (talk) to  revision #27416118 by Galactic Radiance)
27460244,"21:23, 7 December 2019",109.70.100.20,False,major_deletion,reverted,WikiHowUser20230227233914,-3669,
27416118,"04:17, 27 November 2019",WikiHowUser20230227233914,False,addition,reverted,WikiHowUser20230227233914,6,(adding fa tag)
27393282,"10:41, 21 November 2019",Wikivisual,False,addition,active,,160,(Saving new step-by-step photos)
27359093,"17:34, 13 November 2019",Kitkat07,False,addition,active,,2,
27359085,"17:32, 13 November 2019",Kitkat07,False,addition,active,,1,
27355220,"20:23, 12 November 2019",Seymour Edits,False,major_addition,active,,1131,"(Split 1 step up, clarified some language.)"
27350911,"23:03, 11 November 2019",Seymour Edits,False,major_addition,active,,713,"(More actionable steps, created M titles)"
27329043,"11:27, 7 November 2019",RelatedWikihowsBot,False,deletion,active,,-30,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27017555,"09:11, 2 September 2019",Seymour Edits,False,sourcing,active,,454,(Added sources for the wikihaus content team)
26292149,"02:27, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25660709,"16:04, 27 November 2018",Seymour Edits,False,addition,active,,141,(Added the Summary template to this article)
22728530,"00:49, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-18,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
19343694,"01:30, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-154,(Removing redundant wikitext from Related wikiHows section)
19249117,"20:15, 7 January 2016",Wikivisual,False,major_addition,active,,585,(Adding gifs to videos.)
