Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34097022,"19:50, 19 February 2026",MiscBot,False,deletion,active,,-157,(Removing Related Articles section)
34081424,"02:52, 19 February 2026",MiscBot,False,revert,active,,159,(Reverting the Related Articles section removal)
34065615,"19:42, 18 February 2026",MiscBot,False,deletion,active,,-159,(Removing Related Articles section)
33394169,"02:01, 13 May 2025",MiscBot,False,addition,active,,64,(Automatic external link checking: updating and/or deleting links that are broken)
32427225,"17:22, 10 April 2024",AppTech,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
32425181,"19:49, 9 April 2024",Awesome Aasim,False,major_addition,active,,851,(rephrase info about ground + rmv misguided advice about GFCI - GFCI functions internally when there is a difference in current going out to current going in. They do not function as overcurrent devices except in the case of RCBO.)
32406638,"05:16, 2 April 2024",WikiHow Projects,False,major_deletion,active,,-505,(removing broken link)
32406636,"05:16, 2 April 2024",WikiHow Projects,False,deletion,active,,-202,(updating link)
32333612,"22:05, 3 March 2024",WikiHow Horizon,False,addition,active,,19,(Updated link/s)
32235969,"19:16, 25 January 2024",WikiHow Horizon 3,False,deletion,active,,-41,(Updated link/s)
32235681,"15:51, 25 January 2024",WikiHow Horizon 3,False,addition,active,,17,(Updated link/s)
32128060,"20:59, 10 December 2023",WikiHow Horizon 3,False,addition,active,,21,(http ► https)
31592654,"10:35, 4 May 2023",WikiHow Projects,False,deletion,active,,-272,(removing broken link)
31009329,"16:29, 25 October 2022",MiscBot,False,cleanup,active,,-24,(Reformatting the Things You Should Know section)
30768034,"19:53, 9 August 2022",Seymour Edits,False,addition,active,,20,(Adding horizontal TOC tag.)
30767570,"16:04, 9 August 2022",Seymour Edits,False,cleanup,active,,-4,(Subtitle formatting)
30767567,"16:02, 9 August 2022",Seymour Edits,False,major_addition,active,,609,"(Adding subtitle, TYSK, and changing headers.)"
30751403,"15:17, 3 August 2022",Agusbou2015,False,revert,active,,-1,(RCP reverted edits by 43.251.252.221 (talk) to  revision #29779692 by MiscBot)
30751318,"14:35, 3 August 2022",43.251.252.221,False,addition,reverted,Agusbou2015,1,
29779692,"12:21, 4 August 2021",MiscBot,False,deletion,reverted,Agusbou2015,-28,(Automatic category consolidation.)
29147225,"19:58, 28 January 2021",WikiHow International PM,False,deletion,active,,-1,(Format error)
29130572,"05:06, 25 January 2021",Wikivisual,False,addition,active,,167,(Saving new step-by-step photos)
28885429,"02:15, 18 November 2020",Vanna Tran,False,addition,active,,137,
28320528,"21:55, 30 June 2020",Wikiphoto,False,addition,active,,50,(Video added via Video Embed Helper Tool)
28256350,"22:38, 16 June 2020",WikiHow Expert Review,False,addition,active,,206,(Integrated tips from NCA)
27889082,"10:01, 23 March 2020",WikiHow Projects,False,deletion,active,,-134,(removing broken link)
27374006,"00:54, 17 November 2019",Alabaster,False,deletion,active,,-62,"(rm image that has improper units - There are ~3,550W per ton of cooling.)"
27373971,"00:47, 17 November 2019",Alabaster,False,addition,active,,1,(m)
27373969,"00:46, 17 November 2019",Alabaster,False,addition,active,,162,(NEC requirements are more comprehensive than those previously stated in this article)
27370335,"00:31, 16 November 2019",Starlette,False,revert,active,,-8,(RCP reverted edits by Nathan Muzumdar (talk) to  revision #27294594 by Galactic Radiance)
27370284,"00:13, 16 November 2019",Nathan Millerson,False,addition,active,,8,"(fixed missing word ""article"")"
27294594,"00:33, 31 October 2019",WikiHowUser20230227233914,False,addition,reverted,Starlette,6,(adding fa tag)
27040806,"06:59, 6 September 2019",ExoticComet,False,deletion,active,,-8,(improving apostrophe consistency)
26951853,"18:27, 15 August 2019",HelperOnWikihow,False,revert,active,,14,(RCP reverted edits by 66.4.15.191 (talk) to  revision #26461181 by Anna)
26951829,"18:18, 15 August 2019",66.4.15.191,False,deletion,reverted,HelperOnWikihow,-14,
26461181,"01:29, 25 April 2019",Anna,False,revert,reverted,HelperOnWikihow,-206,(Reverted edits by Awesome Aasim (Talk); changed back to last version by MiscBot)
26461099,"01:02, 25 April 2019",Awesome Aasim,False,addition,reverted,Anna,206,(Adding video via Video Adder tool)
26322899,"05:28, 29 March 2019",MiscBot,False,sourcing,reverted,Agusbou2015,-11,(Updating References section name to match new sitewide conventions)
26145920,"09:59, 9 March 2019",WikiHow Projects,False,addition,active,,120,"(→‎Steps:  added 1.11, 1.12)"
25941925,"12:04, 28 January 2019",MiscBot,False,sourcing,reverted,Agusbou2015,-525,(Automatic link maintenance: cleaning up links to references that are broken)
25661822,"18:47, 27 November 2018",R2_d2000,False,revert,active,,-6,(Reverted edits by 18.234.106.219 (Talk); changed back to last version by Wikivisual)
25661819,"18:47, 27 November 2018",18.234.106.219,False,addition,reverted,R2_d2000,6,
24918462,"17:45, 17 July 2018",Wikivisual,False,addition,reverted,R2_d2000,95,(Saving new step-by-step photos)
24650594,"04:59, 27 May 2018",Awesome Aasim,False,major_addition,reverted,Anna,796,(→‎Steps)
