Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33205772,"09:56, 4 March 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33176279,"18:03, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32639629,"00:30, 10 July 2024",WikiHow Horizon 3,False,addition,active,,66,(Adding video via Video Adder tool)
32067726,"09:21, 13 November 2023",Wikivisual,False,addition,active,,68,(Saving new step-by-step photos)
31157622,"12:01, 11 December 2022",WikiHow Projects,False,major_deletion,active,,-726,(removing broken link)
28181863,"19:47, 29 May 2020",WikiHow Expert Review,False,addition,active,,270,(Integrated tips from NCA)
27960256,"09:29, 8 April 2020",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
27843938,"21:08, 11 March 2020",WikiHow Expert Review,False,deletion,active,,-454,(Incorporating expert feedback)
26961363,"17:37, 18 August 2019",Seymour Edits,False,addition,active,,159,(Added the Summary template to this article)
26285134,"01:56, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24417185,"09:10, 21 April 2018",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
24400595,"22:08, 17 April 2018",WikiHow Expert Review,False,major_addition,active,,533,(Incorporating expert feedback)
23995415,"18:17, 7 February 2018",WikiHow Projects,False,addition,active,,60,(ADDED IMAGES)
22909247,"06:47, 25 July 2017",Batreeq,False,revert,active,,219,(RCP reverted edits by 59.100.2.204 (talk) to  revision #22791885 by Votebot)
22909027,"05:53, 25 July 2017",59.100.2.204,False,deletion,reverted,Batreeq,-219,
22791885,"08:45, 6 July 2017",Votebot,False,deletion,reverted,Batreeq,-1,(reordering tips and warnings based on votes)
22725424,"00:39, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-53,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21861937,"15:53, 14 February 2017",195.194.14.203,False,addition,active,,13,(→‎Steps)
21291825,"23:49, 6 November 2016",Flickety,False,addition,active,,47,(Switch to appropriate category)
20214691,"11:21, 13 May 2016",WikiHow Intern,False,deletion,active,,-24,(stub added in error)
20205124,"22:30, 12 May 2016",Stub Bot,False,addition,active,,24,(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note here.)
19390511,"01:25, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-33,(Removing redundant wikitext from Related wikiHows section)
19191180,"19:21, 4 January 2016",Wikivisual,False,major_addition,active,,586,(Saving new step-by-step photos)
19099277,"09:47, 20 December 2015",Votebot,False,deletion,reverted,Batreeq,-2,(reordering tips and warnings based on votes)
18842730,"09:47, 12 November 2015",Votebot,False,deletion,reverted,Batreeq,-1,(reordering tips and warnings based on votes)
18737883,"21:14, 27 October 2015",Seymour Edits,False,sourcing,active,,5208,"(expanded into parts, added sources)"
18052573,"19:05, 28 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17913850,"22:29, 24 July 2015",InterwikiBot,False,deletion,active,,-109,"(Removing interwiki links, no longer needed in wikitext)"
15500652,"18:59, 30 September 2014",InterwikiBot,False,addition,active,,55,(Adding interwiki link)
14484018,"18:31, 9 August 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
14177647,"17:49, 9 July 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
13865211,"17:40, 8 June 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
13226210,"16:34, 7 April 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12918879,"19:14, 7 March 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12848877,"19:04, 28 February 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12329324,"19:29, 7 January 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12326852,"18:05, 7 January 2014",InterwikiBot,False,addition,active,,54,(Adding interwiki link)
12295306,"21:59, 3 January 2014",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12262255,"17:39, 31 December 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12255412,"21:05, 30 December 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
12136571,"19:45, 17 December 2013",Jordan,False,revert,active,,-865,(Reverted edits by 168.8.230.251 (Talk); changed back to last version by Abrogation316)
12134421,"18:29, 17 December 2013",168.8.230.251,False,deletion,reverted,Jordan,-1,(→‎Related wikiHows)
12134412,"18:29, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,12,(→‎Related wikiHows)
12134394,"18:28, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,2,(→‎Related wikiHows)
12133881,"17:52, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,16,(→‎Steps)
12133864,"17:51, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,467,(→‎Warnings)
12133853,"17:50, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,157,(→‎Warnings)
12133848,"17:49, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,426,(→‎Warnings)
12133798,"17:47, 17 December 2013",168.8.230.251,False,deletion,reverted,Jordan,-50,(→‎Related wikiHows)
12133788,"17:47, 17 December 2013",168.8.230.251,False,deletion,reverted,Jordan,-241,(→‎Things You'll Need)
12133625,"17:35, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,6,(→‎Things You'll Need)
12133617,"17:34, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,42,(→‎Things You'll Need)
12133578,"17:32, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,7,(→‎Things You'll Need)
12133475,"17:23, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,22,(→‎Things You'll Need)
12133467,"17:23, 17 December 2013",Abrogation316,False,revert,reverted,Jordan,-9,(Reverted edits by 168.8.230.251 (Talk); changed back to last version by Votebot)
12133463,"17:22, 17 December 2013",168.8.230.251,False,addition,reverted,Jordan,9,(→‎Things You'll Need)
11999773,"19:06, 4 December 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
11845023,"18:28, 19 November 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
11681787,"21:28, 4 November 2013",Votebot,False,deletion,reverted,Batreeq,-7,(reordering tips and warnings based on votes)
11532278,"21:25, 24 October 2013",Votebot,False,addition,reverted,Batreeq,7,(reordering tips and warnings based on votes)
11354656,"16:24, 9 October 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
11056602,"15:58, 9 September 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
10941627,"08:51, 28 August 2013",Wikiphoto,False,addition,active,,46,(Enlarging and centering Steps photos)
10941626,"08:50, 28 August 2013",Wikiphoto,False,addition,active,,325,(Saving new step-by-step photos)
10917709,"16:38, 25 August 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
10587355,"16:27, 26 July 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
10008739,"15:31, 27 May 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
9876182,"15:24, 12 May 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
9721756,"16:47, 27 April 2013",Votebot,False,adjustment,reverted,Batreeq,0,(reordering tips and warnings based on votes)
7186145,"16:57, 25 January 2012",Carterchas,False,deletion,active,,-21,(removing empty section)
6852528,"04:10, 8 November 2011",Elleann,False,addition,active,,20,(→‎Things You'll Need)
6714928,"22:27, 6 October 2011",SuperSaiyan94,False,addition,active,,41,(Edit via Image Picker: Added an image)
6603256,"09:13, 7 September 2011",WRM,False,sourcing,active,,-486,(→‎Sources and Citations)
6426258,"20:50, 30 July 2011",BR,False,revert,reverted,Jordan,-70,(Reverted edits by May1167 (Talk); changed back to last version by Wendy Weaver)
6425823,"19:38, 30 July 2011",May1167,False,addition,reverted,BR,70,(Edit via Image Picker: Added an image)
6423418,"00:58, 30 July 2011",Wendy Weaver,False,addition,reverted,BR,87,(Weaving the web of links)
6225609,"02:45, 18 June 2011",Judithavory,False,addition,active,,37,(categorization)
5873092,"06:00, 15 April 2011",WRM,False,major_addition,active,,3340,(Creating new article)
