Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33000377,"00:41, 15 December 2024",Tabisans,False,deletion,active,,-72,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
33000301,"21:52, 14 December 2024",Robalex848,False,addition,active,,74,(Adding video via video picker tool)
32393993,"13:36, 27 March 2024",WikiHow Horizon,False,deletion,active,,-43,(Removing broken link/s)
32115913,"19:59, 4 December 2023",Seymour Edits,False,addition,active,,463,(Added tysk (experiment))
31232175,"18:49, 5 January 2023",Seymour Edits,False,addition,active,,171,(Added expert citations)
30630594,"21:00, 16 June 2022",Seymour Edits,False,cleanup,active,,1329,(Switching article to list formatting and editing intro)
28328287,"10:05, 2 July 2020",RelatedWikihowsBot,False,deletion,active,,-39,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26966786,"02:04, 20 August 2019",Seymour Edits,False,sourcing,active,,793,(Added sources and a reflist for the wikihaus content team.)
24061875,"10:05, 19 February 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23139995,"08:49, 1 September 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23008594,"22:39, 10 August 2017",Sarah Lucy,False,revert,active,,-1,(RCP reverted edits by EDS12 (talk) to  revision #22950779 by Votebot)
23008253,"21:04, 10 August 2017",EDS12,False,addition,reverted,Sarah Lucy,1,
22950779,"08:46, 1 August 2017",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
22802352,"22:21, 7 July 2017",Flickety,False,addition,active,,6,(Change to appropriate sub-category)
22728776,"00:50, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-186,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
20933461,"21:34, 9 September 2016",WikiHowUser20230227233914,False,revert,active,,10,(Reverted edits by 204.155.22.30 (Talk); changed back to last version by Votebot)
20933459,"21:34, 9 September 2016",204.155.22.30,False,deletion,reverted,WikiHowUser20230227233914,-10,
20349205,"09:49, 4 June 2016",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
19991040,"08:47, 10 April 2016",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
19389996,"01:17, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-266,(Removing redundant wikitext from Related wikiHows section)
18819671,"09:40, 9 November 2015",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
18304561,"08:31, 26 August 2015",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
16908789,"08:46, 19 March 2015",Wikivisual,False,major_addition,active,,2249,(Saving new step-by-step photos)
13506319,"16:44, 4 May 2014",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
13194125,"16:54, 3 April 2014",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
12872927,"18:58, 3 March 2014",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
12270901,"20:09, 1 January 2014",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
11832842,"17:53, 18 November 2013",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
11805449,"18:55, 15 November 2013",Votebot,False,deletion,reverted,Sarah Lucy,-5,(reordering tips and warnings based on votes)
11599996,"21:24, 29 October 2013",Votebot,False,addition,reverted,Sarah Lucy,5,(reordering tips and warnings based on votes)
11403296,"16:12, 14 October 2013",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
9779693,"16:07, 2 May 2013",Votebot,False,adjustment,reverted,Sarah Lucy,0,(reordering tips and warnings based on votes)
7238869,"00:19, 5 February 2012",Ttrimm,False,major_addition,active,,556,(Related wikiHows)
7168103,"15:20, 22 January 2012",Launaesque,False,addition,active,,39,(Edits from the spell checker tool and went through article)
6442905,"10:28, 3 August 2011",WikiHowUser20221012045502,False,deletion,active,,-15,(categorization)
6405404,"00:59, 27 July 2011",Maniac,False,addition,active,,37,(categorization)
6403774,"19:03, 26 July 2011",Ttrimm,False,deletion,active,,-4,(editing article via New Article Boost feature)
6403134,"16:46, 26 July 2011",Akhilesh51,False,major_addition,active,,6103,(Creating new article)
