Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33281605,"09:01, 31 March 2025",MiscBot,False,deletion,active,,-186,(Automatic external link checking: updating and/or deleting links that are broken)
33045032,"05:06, 6 January 2025",WikiHow Projects,False,deletion,active,,-81,(removing broken link)
32715225,"16:48, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32685202,"03:19, 30 July 2024",Seymour Edits,False,addition,active,,117,(Added expert citations.)
32066468,"18:16, 12 November 2023",Wikivisual,False,addition,active,,118,(Saving new step-by-step photos)
31964213,"12:14, 28 September 2023",WikiHow Projects,False,sourcing,active,,24,(Fixing sources for the wikiHaus content team.)
30545467,"21:03, 14 May 2022",WikiHowUser20220525183117,False,addition,active,,47,(Adding video via video picker tool)
26905562,"18:07, 5 August 2019",Seymour Edits,False,sourcing,active,,615,(Added sources for the wikihaus content team)
21450087,"00:47, 5 December 2016",75.109.137.54,False,deletion,active,,-2,
20440979,"11:54, 20 June 2016",Stevecon,False,addition,active,,127,(→‎Warnings)
19037704,"05:42, 11 December 2015",Stevecon,False,addition,active,,3,(→‎Steps)
18291678,"08:55, 24 August 2015",Karen Rundle,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
18096126,"08:21, 29 July 2015",MiscBot,False,deletion,active,,-168,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17964581,"19:06, 27 July 2015",InterwikiBot,False,deletion,active,,-52,"(Removing interwiki links, no longer needed in wikitext)"
14420352,"19:04, 2 August 2014",LoganScott,False,cleanup,active,,-3,(Fixing misspellings via the Spellchecker tool)
13858498,"17:22, 7 June 2014",InterwikiBot,False,addition,active,,52,(Adding interwiki link)
11487663,"22:38, 21 October 2013",Votebot,False,deletion,active,,-359,(reordering tips and warnings based on votes)
11343403,"21:15, 8 October 2013",Wikiphoto,False,addition,active,,109,(Enlarging and centering Steps photos)
11343402,"21:15, 8 October 2013",Wikiphoto,False,major_addition,active,,663,(Saving new step-by-step photos)
10728835,"09:04, 7 August 2013",MiscBot,False,deletion,active,,-15,(Removing nointroimg template)
10345649,"00:53, 2 July 2013",Stevecon,False,addition,active,,163,(→‎Steps)
10100386,"13:59, 6 June 2013",Stevecon,False,major_addition,active,,542,(→‎Steps:  Notify utility)
10099608,"10:41, 6 June 2013",Janezee,False,addition,active,,37,(categorization)
10094728,"18:52, 5 June 2013",140.108.1.11,False,addition,active,,200,(warnings / tips)
10094689,"18:45, 5 June 2013",140.108.1.11,False,addition,active,,32,(→‎Tips)
10091514,"12:55, 5 June 2013",Stevecon,False,deletion,active,,-69,
10091497,"12:53, 5 June 2013",Stevecon,False,addition,active,,107,(→‎Steps)
10087655,"01:26, 5 June 2013",Stevecon,False,deletion,active,,-26,
10087640,"01:24, 5 June 2013",Stevecon,False,addition,active,,74,(→‎Tips)
10087630,"01:23, 5 June 2013",Stevecon,False,major_addition,active,,725,(tips)
10087469,"01:05, 5 June 2013",Stevecon,False,deletion,active,,-5,
10087462,"01:04, 5 June 2013",Stevecon,False,addition,active,,484,(→‎Steps)
10087381,"00:47, 5 June 2013",Stevecon,False,deletion,active,,-28,
10087361,"00:41, 5 June 2013",Stevecon,False,addition,active,,27,
10087261,"00:18, 5 June 2013",CelesteTu,False,revert,active,,2,(Revert my edit)
10087260,"00:18, 5 June 2013",CelesteTu,False,cleanup,active,,0,(Article needs formatting)
10087254,"00:17, 5 June 2013",CelesteTu,False,addition,active,,3,(Format)
10087249,"00:16, 5 June 2013",Stevecon,False,addition,active,,31,
10087242,"00:13, 5 June 2013",Stevecon,False,addition,active,,5,
10087230,"00:11, 5 June 2013",Stevecon,False,addition,active,,10,
10087228,"00:10, 5 June 2013",Stevecon,False,major_addition,active,,639,
10087215,"00:08, 5 June 2013",Stevecon,False,major_addition,active,,4206,(NEW)
