Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34088968,"18:04, 19 February 2026",MiscBot,False,deletion,active,,-47,(Removing Related Articles section)
34072994,"00:49, 19 February 2026",MiscBot,False,revert,active,,108,(Reverting the Related Articles section removal)
34057074,"17:34, 18 February 2026",MiscBot,False,deletion,active,,-108,(Removing Related Articles section)
33015970,"13:13, 22 December 2024",WikiHow Projects,False,deletion,active,,-97,(removing broken link)
32914599,"18:58, 7 November 2024",Seymour Edits,False,deletion,active,,-22,(subT)
32914431,"17:35, 7 November 2024",Seymour Edits,False,deletion,active,,-51,(Edited subtitle)
32912552,"23:21, 6 November 2024",Seymour Edits,False,deletion,active,,-21,(htoc)
32912549,"23:20, 6 November 2024",Seymour Edits,False,addition,active,,1,(htoc)
32912548,"23:20, 6 November 2024",Seymour Edits,False,addition,active,,4,(format change)
32908139,"19:11, 4 November 2024",Seymour Edits,False,addition,active,,328,(Added subtitle & HTOC)
32908127,"19:02, 4 November 2024",Seymour Edits,False,addition,active,,450,(Added TYSK)
32715234,"16:49, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32705783,"20:06, 7 August 2024",Seymour Edits,False,sourcing,active,,-11,(Replaced a bad reference for wikiHaus content team)
32686249,"14:48, 30 July 2024",Seymour Edits,False,addition,active,,39,(Added expert citation.)
31398219,"20:42, 28 February 2023",Khalid Faisal,False,addition,active,,70,(Adding video via video picker tool)
30341195,"18:56, 27 February 2022",Spridoy76,False,addition,active,,97,
29832873,"01:16, 25 August 2021",Vanna Tran,False,deletion,active,,-12,
29693274,"23:30, 28 June 2021",MiscBot,False,addition,active,,10,(Adding magic word for staff experiment)
29580867,"12:01, 24 May 2021",Wikivisual,False,addition,active,,248,(Saving new step-by-step photos)
29406938,"15:41, 3 April 2021",Wikivisual,False,addition,active,,405,(Saving new step-by-step photos)
29367309,"13:32, 22 March 2021",Seymour Edits,False,addition,active,,55,"(Swapped a few steps, revised some clunky language, removed repetition, and removed some repetition throughout.)"
29342398,"15:10, 17 March 2021",Seymour Edits,False,revert,active,,2474,"(Test format for the wikiHaus, please don't revert.)"
29228612,"10:05, 18 February 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
28879083,"09:59, 17 November 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
28477150,"09:20, 12 August 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
28236764,"09:34, 11 June 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27686969,"15:56, 5 February 2020",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
27641014,"22:56, 24 January 2020",Wikivisual,False,major_addition,active,,551,(Saving new step-by-step photos)
27060101,"15:38, 10 September 2019",Seymour Edits,False,addition,active,,227,(wording improvements)
27055262,"14:16, 9 September 2019",Seymour Edits,False,addition,active,,84,
27055195,"14:01, 9 September 2019",Seymour Edits,False,sourcing,active,,1192,"(full overhaul, added steps, added methods, added sources)"
26346937,"07:48, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25937710,"07:49, 27 January 2019",WikiHow Projects,False,deletion,active,,-99,(removing broken link)
25234179,"12:12, 13 September 2018",Flickety,False,deletion,active,,-9,(Change to appropriate sub-category)
19333593,"00:25, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-27,(Removing redundant wikitext from Related wikiHows section)
18636099,"02:32, 13 October 2015",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
18635995,"02:21, 13 October 2015",Wikivisual,False,addition,active,,36,(Saving new step-by-step photos)
18067768,"22:07, 28 July 2015",MiscBot,False,deletion,active,,-56,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
15814506,"22:09, 5 November 2014",MiscBot,False,addition,active,,39,(Adding conversion template.)
11715323,"12:19, 7 November 2013",Wikiphoto,False,addition,active,,37,(Enlarging and centering Steps photos)
11715322,"12:19, 7 November 2013",Wikiphoto,False,addition,active,,255,(Saving new step-by-step photos)
11126481,"15:09, 16 September 2013",Jordan,False,revert,active,,-296,(Reverted edits by Taylormd (Talk); changed back to last version by Jordan)
11126465,"15:06, 16 September 2013",Taylormd,False,addition,reverted,Jordan,296,(→‎Video)
11126368,"14:55, 16 September 2013",Jordan,False,revert,reverted,Jordan,-141,(Reverted edits by 23.28.19.53 (Talk); changed back to last version by EditorEthan)
11126334,"14:50, 16 September 2013",23.28.19.53,False,addition,reverted,Jordan,141,(→‎Video)
10354136,"18:04, 2 July 2013",EditorEthan,False,addition,reverted,Jordan,70,(Adding video via video picker tool)
10230747,"16:27, 19 June 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9808364,"15:58, 5 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9206652,"12:57, 13 February 2013",KimmiLOVE,False,addition,active,,58,(Edit via Image Picker: Added an image)
8237375,"12:58, 10 August 2012",Love2,False,revert,active,,-60,(Reverted edits by Naailashraf (Talk); changed back to last version by Oldcrank)
8236873,"10:51, 10 August 2012",Naailashraf,False,addition,reverted,Love2,60,(Edit via Image Picker: Added an image)
7722331,"20:16, 8 May 2012",Oldcrank,False,addition,reverted,Love2,94,
7251958,"21:29, 7 February 2012",Tiagoroth,False,revert,active,,-44,(Reverted edits by Jassybee (Talk); changed back to last version by TechFlash1)
7251185,"18:37, 7 February 2012",Jassybee,False,addition,reverted,Tiagoroth,44,(Edit via Image Picker: Added an image)
6913715,"20:30, 22 November 2011",TechFlash1,False,addition,reverted,Tiagoroth,31,(categorization)
6757694,"16:58, 16 October 2011",BR,False,revert,active,,-55,(Reverted edits by Svena69 (Talk); changed back to last version by WRM)
6757604,"16:36, 16 October 2011",Svena69,False,addition,reverted,BR,55,(Edit via Image Picker: Added an image)
6755590,"02:00, 16 October 2011",WRM,False,major_addition,reverted,BR,3573,(Creating new article)
