Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34096601,"19:45, 19 February 2026",MiscBot,False,deletion,active,,-42,(Removing Related Articles section)
34080987,"02:46, 19 February 2026",MiscBot,False,revert,active,,44,(Reverting the Related Articles section removal)
34065157,"19:36, 18 February 2026",MiscBot,False,deletion,active,,-44,(Removing Related Articles section)
33229232,"21:26, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32969839,"00:01, 2 December 2024",Ayame_thestorm,False,addition,active,,39,(Adding video via video picker tool)
32472596,"03:42, 30 April 2024",WikiHow Projects,False,deletion,active,,-93,(removing broken link)
31012661,"18:16, 25 October 2022",WikiHow Tester,False,deletion,active,,-3,(Removing TYSK bolding for new format)
31009941,"16:33, 25 October 2022",MiscBot,False,cleanup,active,,-12,(Reformatting the Things You Should Know section)
30795496,"21:14, 19 August 2022",WikiHausLinks,False,addition,active,,141,(Adding AL)
30469043,"23:11, 15 April 2022",Seymour Edits,False,deletion,active,,-13,
30469042,"23:10, 15 April 2022",Seymour Edits,False,addition,active,,289,(added tysk)
29886179,"01:09, 15 September 2021",MiscBot,False,adjustment,active,,0,(Automatic category consolidation.)
29521774,"10:43, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-26,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29147942,"00:40, 29 January 2021",Seymour Edits,False,addition,active,,175,(adding expert citations)
27722182,"20:08, 12 February 2020",Caitlynn L,False,addition,active,,335,(minor fact checking edit for wikiHaus)
26861799,"12:59, 31 July 2019",Seymour Edits,False,sourcing,active,,478,(Added sources for the wikihaus content team.)
26285315,"01:56, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25387878,"18:27, 9 October 2018",Seymour Edits,False,addition,active,,134,(Added the Summary template to this article)
21941244,"13:12, 26 February 2017",UnitGuardian,False,addition,active,,28,(Adding conversion template.)
21765170,"13:31, 30 January 2017",UnitGuardian,False,addition,active,,21,(Adding conversion template.)
21255298,"19:46, 31 October 2016",Flickety,False,deletion,active,,-47,(Switch to appropriate category)
19388418,"00:51, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-50,(Removing redundant wikitext from Related wikiHows section)
18099809,"10:07, 29 July 2015",MiscBot,False,deletion,active,,-112,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17968232,"19:30, 27 July 2015",InterwikiBot,False,deletion,active,,-111,"(Removing interwiki links, no longer needed in wikitext)"
17866179,"19:26, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
17193998,"05:18, 24 April 2015",Wikiphoto,False,deletion,active,,-13,(adding image)
16544546,"19:22, 4 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
16193171,"23:42, 19 December 2014",Chris H,False,deletion,active,,-28,"(removing tag, readers report high helpfulness)"
15969116,"00:41, 23 November 2014",Bobbyfrank,False,addition,active,,28,
15860646,"19:12, 10 November 2014",MiscBot,False,addition,active,,63,(Adding conversion template.)
15092336,"14:39, 17 August 2014",Wikiphoto,False,addition,active,,219,(adding images)
14159558,"03:58, 8 July 2014",Isorhythmic,False,addition,active,,28,
14159553,"03:57, 8 July 2014",Isorhythmic,False,addition,active,,26,
14159535,"03:54, 8 July 2014",Isorhythmic,False,addition,active,,2,(→‎Tips)
13826257,"17:50, 4 June 2014",InterwikiBot,False,addition,active,,84,(Adding interwiki link)
13687034,"17:20, 22 May 2014",InterwikiBot,False,addition,active,,27,(Adding interwiki link)
13084157,"19:41, 25 March 2014",TJean,False,adjustment,active,,0,(Copyediting)
13030312,"22:19, 19 March 2014",Jakesoup,False,major_addition,active,,3696,(weaving the web of links)
12908814,"19:10, 6 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12753176,"17:08, 20 February 2014",Wikiphoto,False,addition,active,,82,(Enlarging and centering Steps photos)
12753175,"17:08, 20 February 2014",Wikiphoto,False,addition,active,,370,(Saving new step-by-step photos)
12361046,"18:44, 10 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12099433,"19:06, 13 December 2013",CQinPDX,False,revert,active,,-25,(Intro reworking project. Please do not revert.)
11796076,"19:48, 14 November 2013",Votebot,False,deletion,active,,-4,(reordering tips and warnings based on votes)
11599515,"21:19, 29 October 2013",Votebot,False,addition,active,,4,(reordering tips and warnings based on votes)
11258085,"15:49, 29 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10963853,"15:51, 30 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9779621,"16:06, 2 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9418293,"22:40, 16 March 2013",76.118.214.190,False,addition,active,,89,(sub-floor goes before framing and electrical)
9418277,"22:37, 16 March 2013",76.118.214.190,False,deletion,active,,-1,(wiring goes before insulation)
8379775,"15:27, 4 September 2012",Sappires,False,addition,active,,63,(Edit via Image Picker: Added an image)
6651517,"00:42, 20 September 2011",Wendy Weaver,False,addition,active,,67,(Weaving the web of links)
6459606,"19:49, 6 August 2011",Maniac,False,addition,active,,18,(categorization)
6357792,"11:00, 16 July 2011",WRM,False,major_addition,active,,3974,(Creating new article)
