Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
31348291,"04:54, 12 February 2023",WikiHow Projects,False,deletion,active,,-110,(removing broken links)
28790653,"00:11, 27 October 2020",ICanGuessItLol,False,revert,active,,34,(Reverted edits by CategoryGuardian (Talk); changed back to last version by Sewing Girl)
28790647,"00:10, 27 October 2020",CategoryGuardian,False,deletion,reverted,ICanGuessItLol,-34,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
27735278,"16:46, 16 February 2020",WikiHowUser20201201000533,False,revert,active,,7954,(RCP reverted edits by BigSharen69 (talk) to  revision #27546361 by RelatedWikihowsBot)
27735272,"16:42, 16 February 2020",BigSharen69,False,major_deletion,reverted,WikiHowUser20201201000533,-7954,(i made minor edits to fix factual errors)
27546361,"10:50, 2 January 2020",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20201201000533,-42,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26975606,"09:41, 22 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26500287,"23:25, 2 May 2019",Seymour Edits,False,sourcing,active,,424,(Added sources for the wikihaus content team)
26258715,"23:56, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24568661,"23:31, 14 May 2018",MiscBot,False,deletion,active,,-426,(Converting summary section to the new Summary template.)
24112823,"19:46, 26 February 2018",MiscBot,False,deletion,active,,-15,(Removing Summarized magic word that isn’t necessary anymore.)
23723038,"01:56, 15 December 2017",JuliaMMartins,False,cleanup,active,,2,(grammar)
23722709,"00:28, 15 December 2017",Seymour Edits,False,addition,active,,4,(Replacing old test with “In a Hurry?” experiment for wikiHaus.)
23722704,"00:27, 15 December 2017",Seymour Edits,False,addition,active,,439,(Replacing old test with “In a Hurry?” experiment for wikiHaus.)
23164256,"17:16, 5 September 2017",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
22964173,"11:52, 3 August 2017",Caitlynn L,False,addition,active,,15,(Adding missed SUMMARIZED code for wikiHaus)
22694585,"18:30, 26 June 2017",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20201201000533,-51,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22478813,"17:51, 23 May 2017",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
22387500,"21:56, 9 May 2017",Vidbot,False,deletion,active,,-37,(Removing Howcast video)
21534940,"20:31, 19 December 2016",Wikivisual,False,addition,active,,153,(Saving new step-by-step photos)
21498093,"19:53, 13 December 2016",ClosedAccount20170115,False,revert,active,,-3,(Reverted edits by 130.156.76.99 (Talk); changed back to last version by B.dajewski)
21498091,"19:53, 13 December 2016",130.156.76.99,False,addition,reverted,ClosedAccount20170115,3,
21352925,"02:08, 17 November 2016",B.dajewski,False,revert,reverted,ClosedAccount20170115,7,(Testing new intro style for project. Please do not revert. Will undo if needed.)
21215359,"19:37, 25 October 2016",Flickety,False,addition,active,,29,(Switch to appropriate category)
21013892,"08:31, 24 September 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21012421,"01:34, 24 September 2016",WikihowSaver,False,revert,active,,5294,(RCP reverted edits by 104.59.132.198 (talk) to  revision #19385690 by RelatedWikihowsBot)
21012414,"01:32, 24 September 2016",104.59.132.198,False,major_deletion,reverted,WikihowSaver,-5294,(→‎Steps)
