Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32110231,"01:34, 2 December 2023",WikiHow Projects,False,deletion,active,,-304,(removing broken link)
28669012,"13:04, 28 September 2020",Seymour Edits,False,deletion,active,,-296,
26267071,"00:31, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26229592,"15:01, 25 March 2019",Wikivisual,False,major_addition,active,,580,(Saving new step-by-step photos)
26144456,"23:48, 8 March 2019",Seymour Edits,False,addition,active,,61,"(updated step titles to make it clear they're alternatives, changed section headings so they're not as repetitive.)"
26143801,"20:08, 8 March 2019",Christy17,False,addition,active,,70,(categorization)
26143515,"18:20, 8 March 2019",Seymour Edits,False,major_deletion,active,,-865,
26142390,"12:31, 8 March 2019",Christy17,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
26141111,"04:38, 8 March 2019",Carolyn Barratt,False,addition,active,,21,
26140238,"00:07, 8 March 2019",Seymour Edits,False,sourcing,active,,5449,"(Spruced up the intro, made this into a methods article, added new sources)"
24449554,"04:30, 27 April 2018",EpcotMagic,False,addition,active,,45,(Adding video via video picker tool)
24010181,"14:20, 10 February 2018",WikiHow Intern,False,addition,active,,9,(Change to appropriate sub-category)
19894044,"08:50, 27 March 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18008810,"10:57, 28 July 2015",MiscBot,False,deletion,active,,-84,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
15369938,"15:32, 16 September 2014",Wikivisual,False,addition,active,,50,(Enlarging and centering Steps photos)
15369937,"15:32, 16 September 2014",Wikivisual,False,addition,active,,334,(Saving new step-by-step photos)
15323117,"00:17, 11 September 2014",AndrewG1999,False,addition,active,,32,(categorization)
15320395,"18:22, 10 September 2014",WRM,False,major_addition,active,,1535,"(New page: If you love your George Foreman grill more than your cooktop at home, then most likely your grill sees plenty of action.  Even though its fun to cook with, it certainly is a drag to cle...)"
