Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
31286396,"13:16, 23 January 2023",Wikivisual,False,addition,active,,99,(Saving new step-by-step photos)
28540058,"09:24, 28 August 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27663268,"15:11, 30 January 2020",Seymour Edits,False,addition,active,,108,
27630381,"16:48, 22 January 2020",Seymour Edits,False,addition,active,,84,
23173665,"07:33, 7 September 2017",RelatedWikihowsBot,False,deletion,active,,-28,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21384654,"23:06, 22 November 2016",Anna,False,addition,active,,51,(categ)
20952032,"08:44, 13 September 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19854675,"08:46, 21 March 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19326499,"23:50, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-119,(Removing redundant wikitext from Related wikiHows section)
18062811,"20:54, 28 July 2015",MiscBot,False,deletion,active,,-140,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
13688570,"17:49, 22 May 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12570709,"19:22, 1 February 2014",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
12305796,"04:54, 5 January 2014",WikiHowUser20221012045502,False,deletion,active,,-90,(Updating old title link to reflect current article redirect)
11790100,"11:02, 14 November 2013",Wikiphoto,False,addition,active,,67,(Enlarging and centering Steps photos)
11790099,"11:02, 14 November 2013",Wikiphoto,False,addition,active,,242,(Saving new step-by-step photos)
11653499,"17:13, 2 November 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
11300956,"16:31, 3 October 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10615298,"16:47, 29 July 2013",WikiHowUser20221012045502,False,addition,active,,16,(Updating old title link to reflect current article redirect)
10310904,"19:54, 27 June 2013",Gloster flyer,False,deletion,active,,-1,(Edits from the spell checker tool)
7682344,"18:25, 2 May 2012",Chris H,False,sourcing,active,,-216,(not sources)
7676054,"17:19, 1 May 2012",Mkl654321,False,major_deletion,active,,-1229,(Made intro more concise as readers would already be well aware of what shrink tubing is and does.)
6318779,"23:08, 7 July 2011",Wikiphoto,False,addition,active,,45,(Enlarging and centering Steps photos; enlarging intro image)
