Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33233168,"22:20, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32715218,"16:48, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32685184,"02:54, 30 July 2024",Seymour Edits,False,addition,active,,117,(Added expert citations.)
28540220,"10:01, 28 August 2020",Wikivisual,False,major_addition,active,,1383,(Saving new step-by-step photos)
28046094,"10:51, 28 April 2020",Unicorn293829,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
28041923,"16:35, 27 April 2020",Artsy Koala,False,revert,active,,-1,(RCP reverted edits by Sophia Latorre (talk) to  revision #28036209 by Unicorn293829)
28041717,"15:55, 27 April 2020",Sophia B,False,cleanup,active,,1,(fixed formatting)
28036209,"13:50, 26 April 2020",Unicorn293829,False,cleanup,reverted,Artsy Koala,1,(Fixing misspellings via the Spellchecker tool)
28033825,"14:37, 25 April 2020",Seymour Edits,False,deletion,active,,-139,(Shortening a step.)
28033790,"14:30, 25 April 2020",Seymour Edits,False,major_addition,active,,1455,(New step/step and part titles.)
28032449,"11:23, 25 April 2020",Snowflakeiesta,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
28030658,"21:07, 24 April 2020",Starlette,False,addition,active,,22,(categorization)
28030368,"18:36, 24 April 2020",WRM,False,major_addition,active,,20642,(Creating article.)
