Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33832223,"00:01, 15 November 2025",MiscBot,False,deletion,active,,-230,(Automatic external link checking: updating and/or deleting links that are broken)
30965518,"21:59, 11 October 2022",Thomas_Ch,False,deletion,active,,-40,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
29452959,"21:01, 15 April 2021",Chris H,False,addition,active,,40,(Moving article to quality review. Disagree? Contact me or leave a note here.)
29031165,"13:10, 28 December 2020",WikiHow Projects,False,deletion,active,,-3,(Removing category to be deleted)
26297721,"02:52, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24774842,"03:43, 19 June 2018",Seymour Edits,False,addition,active,,149,(Added the Summary template to this article)
24320605,"05:13, 3 April 2018",EpcotMagic,False,addition,active,,55,(Adding video via video picker tool)
23879432,"05:39, 18 January 2018",WikiHow Intern,False,deletion,active,,-38,(Change to appropriate sub-category)
20805843,"23:06, 18 August 2016",Wikivisual,False,addition,active,,190,(Saving new step-by-step photos)
17982827,"07:29, 28 July 2015",InterwikiBot,False,deletion,active,,-145,"(Removing interwiki links, no longer needed in wikitext)"
17868597,"20:29, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
16261599,"03:11, 31 December 2014",Wikivisual,False,major_addition,active,,2009,(Saving new step-by-step photos)
16158738,"23:47, 15 December 2014",Chris H,False,addition,active,,42,(clarifying)
16120751,"06:47, 11 December 2014",Faryal_Aftab,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
16109193,"22:18, 9 December 2014",Dr. Carrie,False,cleanup,active,,-30,(fixed formatting issue)
16109179,"22:15, 9 December 2014",Seymour Edits,False,sourcing,active,,2314,"(Reorganzied parts, added better sources)"
16091032,"21:24, 7 December 2014",Bdubblut,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
16073108,"14:51, 5 December 2014",InterwikiBot,False,addition,active,,88,(Adding interwiki link)
16072914,"14:49, 5 December 2014",InterwikiBot,False,addition,active,,59,(Adding interwiki link)
16067689,"19:57, 4 December 2014",Seymour Edits,False,sourcing,active,,4839,"(expanded into multiple parts, added better sources)"
16007243,"14:46, 27 November 2014",InterwikiBot,False,addition,active,,59,(Adding interwiki link)
15997301,"14:52, 26 November 2014",InterwikiBot,False,addition,active,,88,(Adding interwiki link)
15302059,"16:12, 8 September 2014",CelesteTu,False,addition,active,,103,(Adding related wikihow from NAB)
15121514,"05:55, 20 August 2014",Wikivisual,False,addition,active,,105,(Enlarging and centering Steps photos)
15121513,"05:55, 20 August 2014",Wikivisual,False,major_addition,active,,771,(Saving new step-by-step photos)
13736946,"17:16, 27 May 2014",InterwikiBot,False,addition,active,,42,(Adding interwiki link)
9795223,"02:31, 4 May 2013",Laura0681,False,addition,active,,53,(Edit via Image Picker: Added an image)
9794483,"01:36, 4 May 2013",BojacDnagle,False,revert,active,,-65,(Reverted edits by CarrieMarieClaire (Talk); changed back to last version by Maluniu)
9783616,"23:44, 2 May 2013",CarrieMarieClaire,False,addition,reverted,BojacDnagle,65,(Edit via Image Picker: Added an image)
7488795,"01:26, 26 March 2012",WikiHowUser20221012045502,False,adjustment,active,,0,(categorization)
7185291,"09:37, 25 January 2012",Fhakrul,False,deletion,active,,-19,
6146777,"11:50, 6 June 2011",Harri,False,addition,active,,78,(categorization)
5994746,"12:00, 11 May 2011",WRM,False,major_addition,active,,4193,(Creating new article)
