Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33487176,"17:41, 14 June 2025",ChocoCat1122,False,addition,active,,18,(adding HTOC)
32307610,"03:06, 22 February 2024",WikiHow Projects,False,deletion,active,,-117,(removing broken link)
29921597,"08:01, 25 September 2021",WikiHow Projects,False,cleanup,active,,71,(formatting article)
29815091,"16:08, 17 August 2021",Seymour Edits,False,addition,active,,53,(Added expert ref)
26349538,"08:05, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
21297800,"21:51, 7 November 2016",Flickety,False,addition,active,,11,
21297796,"21:51, 7 November 2016",Flickety,False,addition,active,,1,(Switch to appropriate category)
20867042,"04:11, 28 August 2016",WikiHow Projects,False,deletion,active,,-87,(removing broken link)
20250177,"10:25, 19 May 2016",77Ecrivan,False,addition,active,,42,(Adding video via video picker tool)
18077569,"00:58, 29 July 2015",MiscBot,False,deletion,active,,-196,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
14222089,"19:17, 14 July 2014",Wikivisual,False,addition,active,,113,(Enlarging and centering Steps photos)
14222088,"19:17, 14 July 2014",Wikivisual,False,major_addition,active,,685,(Saving new step-by-step photos)
11589212,"22:53, 28 October 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
11099376,"16:04, 13 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
7007507,"16:47, 15 December 2011",75.164.96.30,False,deletion,active,,-16,
6504162,"05:00, 15 August 2011",Auscompgeek,False,addition,active,,45,(Edit via Image Picker: Added an image)
6497643,"13:24, 13 August 2011",Harri,False,addition,active,,42,(categorization)
5958814,"12:00, 3 May 2011",WRM,False,major_addition,active,,3930,(Creating new article)
