Continuum,Query,Google Title,Real WikiHow Title,URL
policy,site:wikihow.com Category:Public Policy,275 Controversial Questions & Debate Topics on Every Subject,Error Resolving,/url?q=https://www.wikihow.com/Controversial-Questions&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAUQAg&usg=AOvVaw3xpeX8uPgiuHpXc02RA2-5
policy,site:wikihow.com Category:Public Policy,How to Be Respected: 15 Ways that Make a Lasting Impact - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Be-Respected&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAYQAg&usg=AOvVaw1p8FnznlTCqBrj6Z1cZ4Y_
policy,site:wikihow.com Category:Public Policy,How to Be a World Citizen: Ways to Expand Your Perspective,Error Resolving,/url?q=https://www.wikihow.com/Be-a-World-Citizen&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAQQAg&usg=AOvVaw3FzqHQleCCVJy5wPlCYzfU
policy,site:wikihow.com Category:Public Policy,How to Make Protest Signs (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Make-Protest-Signs&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECA4QAg&usg=AOvVaw3cBTdKS2x9eNhmyd5fshC8
policy,site:wikihow.com Category:Public Policy,3 Ways to Help Poor Children to Have a Better Future - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Help--Poor-Children-to-Have-a-Better-Future&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAsQAg&usg=AOvVaw1d_OqjMrCgUyBKyWDEafFI
policy,site:wikihow.com Category:Public Policy,"4 Ways to Raise Awareness of Diversity, Equality, and Inclusion",Error Resolving,"/url?q=https://www.wikihow.com/Raise-Awareness-of-Diversity,-Equality,-and-Inclusion&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECA8QAg&usg=AOvVaw1vAmdxXh9WsPYucw8BU98n"
policy,site:wikihow.com Category:Public Policy,3 Ways to Make a Positive Impact on the Lives of Others - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Make-a-Positive-Impact-on-the-Lives-of-Others&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAcQAg&usg=AOvVaw2i6tkwiur9qtDNZNkw9uUx
policy,site:wikihow.com Category:Public Policy,How to Be a Good Citizen: 25 Ways to Make a Difference - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Be-a-Good-Citizen&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAoQAg&usg=AOvVaw2NelIsnego-c6m6T3dv_Ua
policy,site:wikihow.com Category:Public Policy,How to Take Action to Stop War: 14 Steps (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Take-Action-to-Stop-War&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAkQAg&usg=AOvVaw3pe5jepr3hVZnuNGjkOFUS
policy,site:wikihow.com Category:Public Policy,How to Write a Letter of Complaint to Human Resources - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Write-a-Letter-of-Complaint-to-Human-Resources&sa=U&ved=2ahUKEwiU7Ify--STAxW0KFkFHZQ3JiEQFnoECAgQAg&usg=AOvVaw2-aGws4AK_xuTe0c2-fx9K
