Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33227447,"21:02, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32412932,"14:20, 4 April 2024",WikiHow Projects,False,deletion,active,,-65,(removing broken link)
29880787,"09:03, 13 September 2021",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
27912619,"12:28, 28 March 2020",FroggyBiz,False,addition,active,,1,(Adding video via video picker tool)
27902745,"07:21, 26 March 2020",Wikivisual,False,major_deletion,active,,-508,(Saving new step-by-step photos)
27140756,"15:17, 27 September 2019",WikiHow Expert Review,False,addition,active,,177,(Incorporating expert feedback)
26632659,"19:16, 2 June 2019",Seymour Edits,False,sourcing,active,,-7415,"(reorganized content, added more varied sources, simplified methods)"
26555796,"21:58, 15 May 2019",Seymour Edits,False,major_deletion,active,,-2823,(Changing and condensing methods.)
26546910,"00:58, 14 May 2019",Seymour Edits,False,major_addition,active,,5516,(Adding section on home fuses.)
26498682,"16:42, 2 May 2019",Wikiphoto,False,addition,active,,178,(added greenboxes)
26263682,"00:17, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26130168,"23:26, 5 March 2019",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
25963905,"10:23, 31 January 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25710743,"04:59, 6 December 2018",Wikivisual,False,major_addition,active,,2417,(Saving new step-by-step photos)
25197629,"09:18, 6 September 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24916683,"10:07, 17 July 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24719907,"17:46, 8 June 2018",Seymour Edits,False,addition,active,,130,(Added the Summary template to this article)
24702748,"18:30, 5 June 2018",WikiHowUser20210524222356,False,revert,active,,1,(RCP reverted edits by Sophia Latorre (talk) to  revision #24702486 by Seymour Edits)
24702673,"18:13, 5 June 2018",Sophia B,False,deletion,active,,-1,(Grammatical edit.)
24702486,"17:28, 5 June 2018",Seymour Edits,False,addition,reverted,WikiHowUser20210524222356,139,(Editing language.)
24690108,"15:59, 3 June 2018",Seymour Edits,False,major_addition,reverted,WikiHowUser20210524222356,1922,(Editing/adding to change article to car fuses only as requested.)
24518442,"18:46, 7 May 2018",Sevde Kaldiroglu,False,adjustment,active,,0,(Changed S1 image)
24050393,"22:07, 16 February 2018",Sevde Kaldiroglu,False,major_deletion,active,,-524,(Rolling back all but P3)
23288937,"10:51, 28 September 2017",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
23278781,"16:36, 26 September 2017",Wikivisual,False,major_addition,active,,1141,(Saving new step-by-step photos)
22726569,"00:43, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-67,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21315287,"22:41, 10 November 2016",Flickety,False,addition,active,,11,(Add relevant sub-cat)
