Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34093953,"19:10, 19 February 2026",MiscBot,False,deletion,active,,-251,(Removing Related Articles section)
34078220,"02:05, 19 February 2026",MiscBot,False,revert,active,,252,(Reverting the Related Articles section removal)
34062339,"18:54, 18 February 2026",MiscBot,False,deletion,active,,-252,(Removing Related Articles section)
32523532,"23:11, 21 May 2024",Eric,False,revert,active,,-38,(Reverted edits by Mad brain official (Talk); changed back to last version by Seymour Edits)
32523531,"23:08, 21 May 2024",Mad brain official,False,addition,reverted,Eric,38,
32328386,"03:29, 1 March 2024",Seymour Edits,False,sourcing,reverted,Eric,34,(Added and replaced sources for the wikiHaus content team.)
31573689,"08:23, 28 April 2023",EpcotMagic,False,revert,active,,183,(RCP reverted edits by Breeze 090 (talk) to  revision #29821695 by Kyle Hall)
31573565,"07:22, 28 April 2023",Breeze 090,False,revert,reverted,EpcotMagic,-183,(Check-Your-Air-Conditioner-Before-Calling-for-Service)
29821695,"18:06, 20 August 2021",Kyle Hall,False,cleanup,reverted,EpcotMagic,-12,"(fixing formatting, should be QAM, not list)"
29780756,"15:41, 4 August 2021",Wikivisual,False,addition,active,,436,(Saving new step-by-step photos)
29692964,"23:28, 28 June 2021",MiscBot,False,addition,active,,11,(Adding magic word for staff experiment)
29557990,"14:11, 17 May 2021",Wikivisual,False,addition,active,,30,(Saving new step-by-step photos)
29387110,"09:36, 27 March 2021",Wikivisual,False,addition,active,,427,(Saving new step-by-step photos)
29304455,"14:59, 8 March 2021",Seymour Edits,False,revert,reverted,Eric,2320,"(Total rework. Test format for wikiHaus, do not revert.)"
29292086,"17:50, 4 March 2021",WikiHowUser20210312193835,False,addition,active,,79,(Adding video via video picker tool)
29286196,"18:10, 3 March 2021",Seymour Edits,False,revert,reverted,Eric,813,"(Test format for the wikiHaus, please don't revert.)"
26814858,"09:14, 19 July 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26534229,"18:37, 10 May 2019",Seymour Edits,False,sourcing,reverted,Eric,429,(Added sources for the wikihaus content team)
25064229,"09:06, 12 August 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24989842,"15:55, 30 July 2018",Seymour Edits,False,addition,reverted,Eric,172,(Added the Summary template to this article)
24732309,"09:10, 11 June 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23335607,"08:54, 6 October 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22974982,"08:42, 5 August 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22702372,"22:29, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-57,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22478830,"17:51, 23 May 2017",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
22478790,"17:45, 23 May 2017",Wikiphoto,False,revert,active,,-194,(Reverted edits by Joel.Miles925 (Talk); changed back to last version by Neha_Maini)
22364162,"13:46, 6 May 2017",Joel.Miles925,False,revert,reverted,Wikiphoto,194,(RCP reverted edits by Neha Maini (talk) to  revision #20890991 by Wikiphoto)
22362613,"07:09, 6 May 2017",Neha_Maini,False,revert,reverted,Wikiphoto,-194,(Reverted edits by Wikiphoto (Talk); changed back to last version by Votebot)
20890991,"22:40, 1 September 2016",Wikiphoto,False,addition,reverted,Joel.Miles925,194,(Rolled back for visuals)
20871593,"08:37, 29 August 2016",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
20680738,"08:26, 30 July 2016",Wikivisual,False,deletion,active,,-194,(Saving new step-by-step photos)
20106955,"08:46, 27 April 2016",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
19830888,"07:13, 17 March 2016",HumanBeing,False,revert,active,,-64,(RCP reverted edits by Sophl3010 (talk) to  revision #19352683 by RelatedWikihowsBot)
19830645,"06:58, 17 March 2016",Sophl3010,False,addition,reverted,HumanBeing,64,(New tip approved in Tips Patrol)
19352683,"02:43, 9 January 2016",RelatedWikihowsBot,False,deletion,reverted,HumanBeing,-300,(Removing redundant wikitext from Related wikiHows section)
18922843,"09:39, 24 November 2015",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
18285591,"08:30, 23 August 2015",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
18088681,"04:58, 29 July 2015",MiscBot,False,deletion,active,,-140,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17956310,"18:34, 27 July 2015",InterwikiBot,False,deletion,active,,-304,"(Removing interwiki links, no longer needed in wikitext)"
17887180,"08:36, 23 July 2015",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
17602488,"13:11, 14 June 2015",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
17575597,"18:34, 10 June 2015",Vidbot,False,addition,active,,78,(restoring removed video)
17553819,"10:49, 8 June 2015",Vidbot,False,deletion,active,,-78,(Removing unavailable video from article)
17496245,"12:40, 1 June 2015",Votebot,False,adjustment,reverted,Neha_Maini,0,(reordering tips and warnings based on votes)
