Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33922790,"22:01, 22 December 2025",MiscBot,False,addition,active,,1,(Automatic external link checking: updating and/or deleting links that are broken)
33891609,"19:04, 10 December 2025",MiscBot,False,deletion,active,,-7,(Automatic external link checking: updating and/or deleting links that are broken)
33856023,"05:06, 26 November 2025",MiscBot,False,deletion,active,,-38,(Automatic external link checking: updating and/or deleting links that are broken)
30073746,"17:53, 18 November 2021",Seymour Edits,False,deletion,active,,-453,(expert QA update)
29621973,"10:04, 3 June 2021",RelatedWikihowsBot,False,deletion,active,,-43,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29588955,"22:26, 25 May 2021",Chris H,False,deletion,active,,-40,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
29450593,"20:11, 15 April 2021",Chris H,False,addition,active,,40,(Moving article to quality review. Disagree? Contact me or leave a note here.)
26260044,"00:01, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26140537,"01:09, 8 March 2019",Hapayne,False,addition,active,,16,(Updated green box.)
26134119,"19:29, 6 March 2019",Hapayne,False,addition,active,,436,(Updated green box.)
23918902,"01:40, 25 January 2018",ExoticComet,False,cleanup,active,,0,(typos fixed: 5 year → 5-year)
22853675,"02:05, 17 July 2017",Flickety,False,adjustment,active,,0,(Change to appropriate sub-category)
22719363,"00:19, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-29,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21635825,"13:11, 9 January 2017",Wikivisual,False,major_addition,active,,531,(Saving new step-by-step photos)
20994321,"23:09, 20 September 2016",WikiHow Expert Review,False,major_addition,active,,4283,(Incorporating expert feedback)
20868695,"15:15, 28 August 2016",Katiegardner,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
20865101,"17:12, 27 August 2016",Wikivisual,False,major_addition,active,,702,(Saving new step-by-step photos)
20672897,"23:53, 28 July 2016",Seymour Edits,False,addition,active,,11,(methods --> parts)
20670765,"17:05, 28 July 2016",Seymour Edits,False,major_addition,active,,3950,(added more substeps and another part)
20634731,"16:05, 22 July 2016",ChocolateFan1,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
20627522,"13:40, 21 July 2016",Seymour Edits,False,sourcing,active,,4695,(expanded into multiple parts and added sources)
20275458,"09:21, 23 May 2016",Wikivisual,False,addition,active,,380,(Saving new step-by-step photos)
19319532,"23:20, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-138,(Removing redundant wikitext from Related wikiHows section)
19209176,"22:22, 5 January 2016",RedirectsBot,False,adjustment,active,,0,(Updating link to point directly to article instead of redirect)
16578025,"17:27, 6 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
13128837,"22:27, 30 March 2014",WikiHowUser20221012045502,False,addition,active,,300,(Related wikiHows)
11457754,"16:48, 19 October 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
7174445,"18:35, 23 January 2012",Broken Internal Link Removal,False,deletion,active,,-103,(Removing broken links)
4659070,"20:32, 2 June 2010",Anson S,False,addition,active,,68,(Added Image using ImageAdder Tool)
4653229,"14:58, 1 June 2010",WikiHowUser20230911163113,False,addition,active,,103,(Adding related wikihow from NAB)
4375721,"01:24, 12 March 2010",DifuWu,False,addition,active,,30,(categorization)
4373687,"11:25, 11 March 2010",Jpropertysale,False,major_addition,active,,3003,(Creating new article)
