Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33034123,"16:35, 31 December 2024",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31499480,"08:43, 4 April 2023",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
31211121,"17:15, 28 December 2022",ICanGuessItLol,False,revert,active,,-586,(RCP reverted edits by Rashid bashir (talk) to  revision #31095865 by Wikivisual)
31210835,"14:23, 28 December 2022",Rashid bashir,False,addition,reverted,ICanGuessItLol,55,
31210826,"14:20, 28 December 2022",Rashid bashir,False,deletion,reverted,ICanGuessItLol,-19,
31210823,"14:19, 28 December 2022",Rashid bashir,False,major_addition,reverted,ICanGuessItLol,550,
31095865,"15:21, 21 November 2022",Wikivisual,False,addition,reverted,ICanGuessItLol,140,(Saving new step-by-step photos)
26347514,"07:52, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25680699,"02:56, 1 December 2018",Wikivisual,False,major_addition,reverted,ICanGuessItLol,601,(Saving new step-by-step photos)
25608732,"23:23, 16 November 2018",Seymour Edits,False,major_addition,active,,664,(Audit revision.)
25545165,"18:46, 5 November 2018",Sophia B,False,addition,active,,4,(corrected errors)
25542639,"12:17, 5 November 2018",StrayCatz,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
25540185,"00:05, 5 November 2018",Seymour Edits,False,major_addition,active,,1578,"(Added 1.1, made copy edits, revised Tips. Added substeps explaining the materials in P1.)"
25532050,"09:38, 3 November 2018",Hufflepuffle2006,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
25527973,"18:52, 2 November 2018",Christy17,False,addition,active,,46,(categorization)
25527669,"17:36, 2 November 2018",WRM,False,major_addition,active,,8834,(Created article.)
