Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34090821,"18:29, 19 February 2026",MiscBot,False,deletion,active,,-164,(Removing Related Articles section)
34074925,"01:16, 19 February 2026",MiscBot,False,revert,active,,166,(Reverting the Related Articles section removal)
34058985,"18:03, 18 February 2026",MiscBot,False,deletion,active,,-166,(Removing Related Articles section)
34051413,"06:37, 17 February 2026",Muyio1441,False,deletion,active,,-1,
33702815,"00:56, 29 September 2025",Seymour Edits,False,sourcing,active,,-355,(Removed and replaced bad sources for wikiHaus content team)
33368781,"18:23, 2 May 2025",WikiHow Projects,False,addition,active,,74,(Adding internal links)
33272190,"05:00, 27 March 2025",MiscBot,False,deletion,active,,-336,(Automatic external link checking: updating and/or deleting links that are broken)
33176208,"18:03, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33016679,"03:34, 23 December 2024",WikiHow Projects,False,deletion,active,,-23,(updating link)
32325466,"01:05, 29 February 2024",WikiHow Horizon 3,False,addition,active,,5,(http ► https)
32015574,"15:18, 20 October 2023",Agusbou2015,False,addition,active,,220,(Added new tip.)
31243687,"23:44, 8 January 2023",WikiHow Projects,False,deletion,active,,-60,(removing broken link)
31243686,"23:44, 8 January 2023",WikiHow Projects,False,addition,active,,6,(updating link)
31179990,"09:40, 18 December 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30289576,"10:11, 11 February 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29613805,"17:10, 1 June 2021",GB742,False,revert,active,,381,(RCP reverted edits by 87.80.221.82 (talk) to  revision #29284938 by Votebot)
29613486,"14:47, 1 June 2021",87.80.221.82,False,deletion,reverted,GB742,-381,
29284938,"10:01, 3 March 2021",Votebot,False,adjustment,reverted,GB742,0,(reordering tips and warnings based on votes)
29197140,"21:06, 10 February 2021",WikiHow Expert Review,False,major_addition,active,,802,(Integrated tips from NCA)
28429741,"09:22, 29 July 2020",Votebot,False,adjustment,reverted,GB742,0,(reordering tips and warnings based on votes)
28076456,"16:08, 5 May 2020",WikiHaus Trainee,False,addition,active,,138,(adding relevant wikiHow link)
27931203,"01:54, 2 April 2020",WikiHaus Trainee,False,addition,active,,17,(Adding relevant wikihow link)
27817462,"12:44, 5 March 2020",LavenderMoon,False,revert,active,,-6128,(RCP reverted edits by Digitizebrand Pune (talk) to  revision #27641190 by WikiHaus Trainee)
27815251,"10:23, 5 March 2020",Digitizebrand Pune,False,major_addition,reverted,LavenderMoon,6128,
27641190,"00:06, 25 January 2020",WikiHaus Trainee,False,addition,reverted,LavenderMoon,23,(→‎Steps)
27469888,"23:35, 9 December 2019",Lutherus Shyrilser,False,revert,active,,16874,(Reverted edits by 174.105.12.59 (Talk); changed back to last version by Votebot)
27469879,"23:33, 9 December 2019",174.105.12.59,False,major_deletion,reverted,Lutherus Shyrilser,-16874,(Replacing page with 'how to die in a hole is easy all you need to do is jump in a deep hole have deepresion and die thats all easy right?')
27398540,"10:48, 22 November 2019",Votebot,False,adjustment,reverted,GB742,0,(reordering tips and warnings based on votes)
27111563,"09:52, 21 September 2019",Votebot,False,adjustment,reverted,GB742,0,(reordering tips and warnings based on votes)
26971646,"09:46, 21 August 2019",Votebot,False,adjustment,reverted,GB742,0,(reordering tips and warnings based on votes)
