Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33487108,"17:10, 14 June 2025",ChocoCat1122,False,addition,active,,19,
32699360,"13:03, 5 August 2024",WikiHow Projects,False,deletion,active,,-155,(removing broken link)
31920825,"16:41, 9 September 2023",WikiHow Projects,False,deletion,active,,-86,(removing broken link)
30917537,"17:13, 27 September 2022",Seymour Edits,False,deletion,active,,-52,(removed link)
29887238,"01:16, 15 September 2021",MiscBot,False,deletion,active,,-10,(Automatic category consolidation.)
29697460,"18:01, 29 June 2021",Seymour Edits,False,revert,active,,195,(NCA edit. Do not revert.)
29620343,"02:36, 3 June 2021",WikiHow Projects,False,deletion,active,,-79,(removing broken link)
28076471,"16:13, 5 May 2020",WikiHaus Trainee,False,addition,active,,37,(adding relevant wikiHow link)
27765020,"15:22, 23 February 2020",WikiHow Projects,False,deletion,active,,-57,(removing broken link)
26256107,"23:45, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26033220,"12:20, 14 February 2019",MiscBot,False,sourcing,active,,-61,(Automatic link maintenance: cleaning up links to references that are broken)
25191284,"06:20, 5 September 2018",Flickety,False,addition,active,,7,(Change to appropriate sub-category)
24681783,"17:56, 1 June 2018",Seymour Edits,False,addition,active,,148,(Added the Summary template to this article)
24136389,"23:13, 1 March 2018",Artemi7,False,revert,active,,-143,(RCP reverted edits by 87.116.176.148 (talk) to  revision #23752758 by Caitlynn L)
24136377,"23:11, 1 March 2018",87.116.176.148,False,addition,reverted,Artemi7,143,
23752758,"12:46, 20 December 2017",Caitlynn L,False,revert,reverted,Artemi7,4,(RCP reverted edits by 89.207.213.120 (talk) to  revision #23357113 by Batreeq)
23752700,"12:22, 20 December 2017",89.207.213.120,False,deletion,reverted,Caitlynn L,-4,
23357113,"21:23, 9 October 2017",Batreeq,False,revert,reverted,Caitlynn L,233,(Reverted edits by 70.195.65.169 (Talk); changed back to last version by Zodiaw)
23357107,"21:21, 9 October 2017",70.195.65.169,False,deletion,reverted,Batreeq,-233,
22877700,"15:23, 20 July 2017",Zodi,False,adjustment,reverted,Batreeq,0,
22640615,"05:58, 18 June 2017",WikiHow Projects,False,deletion,active,,-76,(removing broken link)
21664207,"22:05, 13 January 2017",Anna,False,revert,active,,192,(RCP reverted edits by 128.109.10.46 (talk) to  revision #21582364 by Stevecon)
21663459,"19:28, 13 January 2017",128.109.10.46,False,deletion,reverted,Anna,-192,
21582364,"17:26, 30 December 2016",Stevecon,False,addition,reverted,Anna,105,(→‎Steps)
21438205,"21:36, 2 December 2016",Wikiphoto,False,adjustment,active,,0,(rolled forward visuals)
21308754,"22:26, 9 November 2016",WikiHow Projects,False,deletion,active,,-67,(removing broken link)
21068801,"21:09, 3 October 2016",Wikiphoto,False,revert,active,,0,(Reverted edits by Wikivisual (Talk); changed back to last version by RelatedWikihowsBot)
20779189,"13:21, 16 August 2016",Wikivisual,False,adjustment,reverted,Wikiphoto,0,(Saving new step-by-step photos)
19387547,"00:39, 12 January 2016",RelatedWikihowsBot,False,deletion,reverted,Wikiphoto,-112,(Removing redundant wikitext from Related wikiHows section)
18099126,"09:48, 29 July 2015",MiscBot,False,deletion,active,,-140,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17579272,"01:41, 11 June 2015",Nikephoros Baris,False,revert,active,,6691,(RCP reverted edits by Joshua9090 (talk) to  revision #16129961 by GeekySonic)
17571976,"16:32, 10 June 2015",Joshua9090,False,major_deletion,reverted,Nikephoros Baris,-4206,
17571973,"16:32, 10 June 2015",Joshua9090,False,major_deletion,reverted,Nikephoros Baris,-2485,
