Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33223863,"20:12, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32696713,"20:55, 4 August 2024",WikiHow Horizon,False,addition,active,,6,(Updated link/s)
32094997,"13:54, 26 November 2023",WikiHow Projects,False,addition,active,,4,(updating link)
26350326,"08:10, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26095767,"03:44, 27 February 2019",WikiHowUser20230227233914,False,addition,active,,6,(adding fa tag)
25871638,"17:36, 11 January 2019",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
25865847,"16:56, 10 January 2019",Wikivisual,False,major_addition,active,,921,(Saving new step-by-step photos)
25821002,"02:15, 31 December 2018",Seymour Edits,False,addition,active,,404,(Updated green box.)
25820994,"02:13, 31 December 2018",Seymour Edits,False,addition,active,,427,(Filled in missing wrap text; added example)
25820986,"02:09, 31 December 2018",Seymour Edits,False,addition,active,,205,(Updated green box.)
25820983,"02:09, 31 December 2018",Seymour Edits,False,deletion,active,,-205,(Updated green box.)
25820981,"02:09, 31 December 2018",Seymour Edits,False,addition,active,,205,(Updated green box.)
25820980,"02:08, 31 December 2018",Seymour Edits,False,addition,active,,289,(Updated green box.)
25820979,"02:06, 31 December 2018",Seymour Edits,False,sourcing,active,,4785,(Reorganized into actionable parts; corrected inaccuracies; added appropriate detail and explanations; added reliable sources)
25709534,"23:15, 5 December 2018",Seymour Edits,False,addition,active,,160,(Added the Summary template to this article)
21333191,"21:26, 13 November 2016",WikiHow Projects,False,deletion,active,,-101,(removing broken link)
20968014,"04:50, 16 September 2016",WikiHow Projects,False,deletion,active,,-14,(added images)
20964393,"13:46, 15 September 2016",WikiHow Projects,False,addition,active,,9,(added images)
20923650,"04:05, 8 September 2016",WikiHow Projects,False,revert,active,,-81,(Reverted edits by SarahB (Talk); changed back to last version by Ivan_Brosas)
20918360,"08:09, 7 September 2016",SarahB,False,revert,reverted,WikiHow Projects,81,(Reverted edits by Ivan Brosas (Talk); changed back to last version by Wikivisual)
20917952,"04:11, 7 September 2016",Ivan_Brosas,False,deletion,reverted,WikiHow Projects,-81,(added images)
20376539,"07:46, 9 June 2016",Wikivisual,False,major_addition,reverted,SarahB,666,(Saving new step-by-step photos)
18101284,"10:52, 29 July 2015",MiscBot,False,deletion,active,,-56,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17874838,"21:58, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
17864340,"18:58, 21 July 2015",MiscBot,False,cleanup,active,,-2,(Correcting spelling and/or grammar.)
17215436,"19:07, 27 April 2015",Jakesoup,False,major_deletion,active,,-706,(Readability edit.)
17180407,"21:45, 22 April 2015",Jakesoup,False,major_addition,active,,4663,
15295238,"18:44, 7 September 2014",Belfort2007,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
15135566,"09:50, 21 August 2014",Wikivisual,False,addition,reverted,SarahB,41,(Enlarging and centering Steps photos)
15135565,"09:50, 21 August 2014",Wikivisual,False,addition,reverted,SarahB,370,(Saving new step-by-step photos)
14313024,"21:36, 23 July 2014",WikiHow Intern,False,deletion,active,,-132,(remove broken link)
14144087,"09:12, 6 July 2014",Fant,False,cleanup,active,,-2,(Fixing misspellings via the Spellchecker tool)
10684242,"22:03, 5 August 2013",Allie,False,addition,active,,187,(Added samples)
10036024,"09:36, 30 May 2013",BR,False,revert,reverted,WikiHow Projects,-76,(Reverted edits by Manoj12 (Talk); changed back to last version by General Rommel)
10035895,"09:06, 30 May 2013",Manoj12,False,addition,reverted,BR,76,(Edit via Image Picker: Added an image)
8058028,"09:15, 9 July 2012",General Rommel,False,addition,reverted,BR,3,(Edits from the spell checker tool)
6740982,"20:28, 12 October 2011",Chris H,False,major_addition,active,,1658,(refresh)
6662413,"02:16, 23 September 2011",WikiHowUser20221012045502,False,addition,active,,22,(categorization)
6478554,"00:37, 10 August 2011",Wendy Weaver,False,addition,active,,80,(Weaving the web of links)
6477293,"00:29, 10 August 2011",Wendy Weaver,False,addition,active,,101,(Weaving the web of links)
6345948,"22:00, 13 July 2011",WRM,False,major_addition,active,,2921,(Creating new article)
