Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33468365,"11:02, 6 June 2025",MiscBot,False,deletion,active,,-64,(Automatic external link checking: updating and/or deleting links that are broken)
32856579,"11:30, 14 October 2024",WikiHow Projects,False,addition,active,,5,(updating link)
31446447,"17:58, 17 March 2023",NatalieH,False,addition,active,,146,(added samples)
30408694,"15:38, 23 March 2022",Seymour Edits,False,sourcing,active,,-100,(Added/replaced sources for the wikihaus content team)
29497195,"08:50, 30 April 2021",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
29425084,"10:10, 8 April 2021",RelatedWikihowsBot,False,deletion,active,,-59,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27198431,"16:49, 10 October 2019",Seymour Edits,False,addition,active,,146,(Added the Summary template to this article)
26297074,"02:50, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25855649,"10:15, 8 January 2019",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
25812022,"20:36, 27 December 2018",WikiHow Expert Review,False,revert,active,,-243,(reverted edits after expert review)
25789745,"20:42, 20 December 2018",Cierra O,False,addition,active,,245,
24484869,"01:16, 2 May 2018",WikiHow Projects,False,deletion,active,,-379,(removing broken link)
23321366,"19:04, 3 October 2017",99.248.211.4,False,deletion,active,,-10,
22731182,"00:58, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-24,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21162935,"02:26, 18 October 2016",Wikivisual,False,addition,active,,74,(Saving new step-by-step photos)
20839562,"21:00, 23 August 2016",Anna,False,deletion,active,,-64,(rm meal plan pic that might come off as an actual suggested plan)
20681252,"09:16, 30 July 2016",Wikivisual,False,major_addition,active,,1036,(Saving new step-by-step photos)
19404179,"05:17, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-65,(Removing redundant wikitext from Related wikiHows section)
18984097,"09:53, 3 December 2015",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
18926450,"22:24, 24 November 2015",Brookenado,False,addition,active,,431,(expert verification)
18656440,"13:27, 15 October 2015",Seymour Edits,False,deletion,active,,-488,(minor revisions & clarifications)
18652576,"04:33, 15 October 2015",Seymour Edits,False,deletion,active,,-2,
18652569,"04:32, 15 October 2015",Seymour Edits,False,major_addition,active,,1959,"(new method 1, edits to old method 1, new step in m. 3)"
18558122,"04:32, 2 October 2015",Seymour Edits,False,addition,active,,28,(→‎Steps)
18558113,"04:29, 2 October 2015",Seymour Edits,False,major_addition,active,,1232,(added step to method 1)
18558059,"04:07, 2 October 2015",Seymour Edits,False,cleanup,active,,1,(→‎Steps:  typo)
18549477,"04:33, 1 October 2015",Seymour Edits,False,sourcing,active,,1790,"(total revision, new steps & sources)"
18160559,"13:03, 5 August 2015",SarahB,False,revert,active,,23,(RCP reverted edits by CategoryGuardian (talk) to  revision #17972040 by InterwikiBot)
18157593,"01:54, 5 August 2015",CategoryGuardian,False,deletion,reverted,SarahB,-23,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
17972040,"19:56, 27 July 2015",InterwikiBot,False,deletion,reverted,SarahB,-154,"(Removing interwiki links, no longer needed in wikitext)"
17118336,"20:36, 14 April 2015",ElizabethD,False,deletion,active,,-2,(removing extra space)
17062654,"15:26, 8 April 2015",Wikivisual,False,addition,active,,475,(Saving new step-by-step photos)
16259738,"20:25, 30 December 2014",Krystle,False,addition,active,,75,(Adding related wikihow from NAB)
13551487,"17:11, 8 May 2014",InterwikiBot,False,addition,reverted,SarahB,47,(Adding interwiki link)
13544405,"03:47, 8 May 2014",Ttrimm,False,addition,active,,75,(Adding related wikihow from NAB)
13409573,"17:21, 24 April 2014",InterwikiBot,False,addition,reverted,SarahB,36,(Adding interwiki link)
13247892,"16:41, 9 April 2014",InterwikiBot,False,addition,reverted,SarahB,37,(Adding interwiki link)
13105400,"16:27, 28 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12438910,"18:37, 18 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12379955,"07:37, 13 January 2014",50.27.110.249,False,deletion,active,,-6,
11724158,"22:06, 7 November 2013",Abrogation316,False,revert,active,,26,(Reverted edits by 72.86.12.120 (Talk); changed back to last version by Charlottn)
11723869,"21:35, 7 November 2013",72.86.12.120,False,deletion,reverted,Abrogation316,-26,
11259650,"19:08, 29 September 2013",Charlottn,False,revert,reverted,Abrogation316,2,(Reverted edits by 99.242.237.61 (Talk); changed back to last version by Votebot)
