Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34096948,"19:49, 19 February 2026",MiscBot,False,deletion,active,,-210,(Removing Related Articles section)
34081349,"02:51, 19 February 2026",MiscBot,False,revert,active,,212,(Reverting the Related Articles section removal)
34065533,"19:41, 18 February 2026",MiscBot,False,deletion,active,,-212,(Removing Related Articles section)
30917256,"15:17, 27 September 2022",Seymour Edits,False,addition,active,,205,(Added expert citations)
28227334,"10:05, 9 June 2020",WikiHaus Trainee,False,addition,active,,23,(Adding relevant wikihow link)
27394199,"13:44, 21 November 2019",Wikivisual,False,deletion,active,,-394,(Saving new step-by-step photos)
27299167,"02:47, 1 November 2019",Seymour Edits,False,sourcing,active,,-132,(improved sources)
27299163,"02:45, 1 November 2019",Seymour Edits,False,deletion,active,,-83,(parts-->methods; clarified how to accomplish various tasks during installation)
27270773,"17:27, 25 October 2019",Seymour Edits,False,sourcing,active,,7762,"(expanded and reorganized existing content, added references)"
26741898,"17:04, 30 June 2019",Seymour Edits,False,sourcing,active,,422,(Added sources for the wikihaus content team.)
26297807,"02:53, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24868353,"15:46, 7 July 2018",XxVxX,False,revert,active,,14,(RCP reverted edits by 70.89.203.209 (talk) to  revision #23987943 by WikiHow Intern)
24868350,"15:43, 7 July 2018",70.89.203.209,False,deletion,reverted,XxVxX,-14,
23987943,"06:21, 6 February 2018",WikiHow Intern,False,deletion,reverted,XxVxX,-18,(Change to appropriate sub-category)
22726172,"00:41, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-50,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
20050497,"18:18, 18 April 2016",CelesteTu,False,revert,active,,-10,(RCP reverted edits by FB 749971748479482 (talk) to  revision #19364136 by Wikivisual)
20050253,"17:34, 18 April 2016",FB_749971748479482,False,addition,active,,10,
19364136,"18:45, 9 January 2016",Wikivisual,False,major_addition,reverted,CelesteTu,666,(Adding gifs to videos.)
19352655,"02:43, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-251,(Removing redundant wikitext from Related wikiHows section)
17952296,"18:22, 27 July 2015",InterwikiBot,False,deletion,active,,-47,"(Removing interwiki links, no longer needed in wikitext)"
17753058,"14:55, 7 July 2015",TsmicStafford,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
17576097,"18:41, 10 June 2015",Vidbot,False,addition,active,,54,(restoring removed video)
17562005,"10:46, 9 June 2015",Vidbot,False,deletion,active,,-54,(Removing unavailable video from article)
15860247,"19:05, 10 November 2014",MiscBot,False,addition,active,,14,(Adding conversion template.)
15808102,"14:51, 5 November 2014",InterwikiBot,False,addition,active,,47,(Adding interwiki link)
15174697,"18:20, 25 August 2014",Wikivisual,False,addition,reverted,CelesteTu,1,(Enlarging and centering Steps photos)
15174696,"18:20, 25 August 2014",Wikivisual,False,major_addition,reverted,CelesteTu,546,(Saving new step-by-step photos)
11324690,"20:58, 6 October 2013",CelesteTu,False,addition,active,,105,(Adding related wikihow from NAB)
11036899,"14:31, 7 September 2013",Partyonnopeave,False,addition,active,,2,(Edits from the spell checker tool)
10988109,"15:28, 2 September 2013",EpcotMagic,False,addition,active,,53,(Adding video via video picker tool)
10716789,"05:11, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10592126,"00:25, 27 July 2013",Wikiphoto,False,addition,active,,15,(Adding {{nointroimg}} template and removing intro images)
10582744,"06:21, 26 July 2013",Wikiphoto,False,addition,active,,55,(Enlarging and centering Steps photos)
10582743,"06:21, 26 July 2013",Wikiphoto,False,addition,active,,328,(Saving new step-by-step photos)
6421444,"00:20, 30 July 2011",Wendy Weaver,False,addition,active,,50,(Weaving the web of links)
6302283,"19:57, 4 July 2011",WikiHowUser20221012045502,False,addition,active,,358,(Related wikiHows)
6050980,"21:04, 22 May 2011",WikiHowUser20221012045502,False,addition,active,,43,(categorization)
5976777,"17:42, 7 May 2011",Broken.Guitar,False,addition,active,,44,(Added Image using ImageAdder Tool)
5974254,"01:00, 7 May 2011",WRM,False,major_addition,active,,4288,(Creating new article)
