Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
31945057,"12:49, 20 September 2023",Agusbou2015,False,revert,active,,7,(RCP reverted edits by Octiot (talk) to  revision #31118127 by WikiHow Projects)
31945046,"12:39, 20 September 2023",Octiot,False,deletion,reverted,Agusbou2015,-7,(Save Energy and Money with the Best Motion Sensor Technology !!)
31118127,"14:47, 29 November 2022",WikiHow Projects,False,deletion,reverted,Agusbou2015,-33,(updating link)
30885812,"00:12, 18 September 2022",WikiHow Projects,False,deletion,reverted,Agusbou2015,-108,(updating link)
30607555,"12:44, 8 June 2022",UnitGuardian,False,addition,active,,23,(Adding conversion template)
29895269,"06:25, 16 September 2021",MiscBot,False,deletion,active,,-6,(Automatic category consolidation.)
29407896,"02:36, 4 April 2021",WikiHow Projects,False,deletion,reverted,Agusbou2015,-36,(Removing category)
28938757,"21:57, 1 December 2020",Seymour Edits,False,addition,active,,86,(Adding expert citations)
27988228,"19:32, 14 April 2020",Seymour Edits,False,addition,active,,157,(Added the Summary template to this article)
26298043,"02:54, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
23879339,"05:14, 18 January 2018",WikiHow Intern,False,addition,active,,28,(Add appropriate sub-category)
23879314,"05:02, 18 January 2018",WikiHow Intern,False,deletion,active,,-5,(Change to appropriate sub-category)
21353477,"05:50, 17 November 2016",WikiHow Projects,False,deletion,reverted,Agusbou2015,-108,(removing broken link)
20175655,"08:35, 8 May 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17505351,"12:45, 2 June 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16958074,"05:30, 26 March 2015",Wikivisual,False,major_addition,active,,929,(Saving new step-by-step photos)
16660039,"05:15, 16 February 2015",98.93.253.242,False,deletion,active,,-1,
16528144,"16:49, 2 February 2015",Anna,False,revert,active,,1843,(Reverted edits by Sustain (Talk); changed back to last version by Seymour Edits)
16525291,"05:18, 2 February 2015",Sustain,False,revert,reverted,Anna,-1843,(RCP reverted edits by Seymour Edits (talk) to  revision #16061348 by Wikivisual)
16525288,"05:17, 2 February 2015",Seymour Edits,False,major_addition,reverted,Anna,1843,"(Reorganized parts, expanded steps, revised introduction, added tips, revised warnings.)"
16061348,"09:30, 4 December 2014",Wikivisual,False,major_addition,reverted,Sustain,756,(Saving new step-by-step photos)
15941729,"20:55, 19 November 2014",Dr. Carrie,False,sourcing,active,,3264,(significant expansion with multiple parts and new sources)
15366256,"05:07, 16 September 2014",LuceroCFlores,False,addition,active,,62,(Adding video via video picker tool)
14021386,"15:25, 24 June 2014",Wikivisual,False,addition,reverted,Sustain,89,(Enlarging and centering Steps photos)
14021385,"15:25, 24 June 2014",Wikivisual,False,major_addition,reverted,Sustain,722,(Saving new step-by-step photos)
11859338,"19:59, 20 November 2013",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
11653182,"17:10, 2 November 2013",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
8532581,"19:41, 5 October 2012",Livinginadaydream,False,addition,active,,2,(Edits from the spell checker tool)
7258995,"03:06, 9 February 2012",Sadie Reed,False,addition,active,,62,(Edit via Image Picker: Added an image)
7173642,"16:26, 23 January 2012",Eric,False,revert,active,,-37,(Reverted edits by Titoo3070 (Talk); changed back to last version by WikiHow Übersetzungen)
7173313,"14:34, 23 January 2012",Titoo3070,False,addition,reverted,Eric,37,(→‎Warnings)
6511892,"20:32, 16 August 2011",WikiHow Übersetzungen,False,addition,reverted,Eric,86,(IW link)
5339895,"23:49, 4 December 2010",Carolyn Barratt,False,addition,active,,42,(categorization)
5330973,"19:26, 2 December 2010",WRM,False,major_addition,active,,2924,(Creating new article)
