Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34100330,"20:33, 19 February 2026",MiscBot,False,deletion,active,,-80,(Removing Related Articles section)
34084744,"03:38, 19 February 2026",MiscBot,False,revert,active,,80,(Reverting the Related Articles section removal)
34069221,"20:45, 18 February 2026",MiscBot,False,deletion,active,,-80,(Removing Related Articles section)
33791975,"08:54, 27 October 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33638612,"08:46, 26 August 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33624274,"17:58, 19 August 2025",Tiagoroth,False,revert,active,,6115,(RCP reverted edits by Mehedi Hasan 5 (talk) to  revision #33187385 by Diego.G.Jr)
33624176,"16:38, 19 August 2025",Mehedi Hasan 5,False,major_deletion,reverted,Tiagoroth,-6115,(Best Baby Stroller in Canada 2025)
33187385,"22:50, 24 February 2025",Diego.G.Jr,False,revert,reverted,Tiagoroth,-90,(RCP reverted edits by 98.217.159.114 (talk) to  revision #33083296 by Votebot)
33187322,"21:29, 24 February 2025",98.217.159.114,False,addition,reverted,Diego.G.Jr,90,
33083296,"09:46, 21 January 2025",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
32793798,"08:49, 19 September 2024",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
32441963,"08:45, 17 April 2024",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
32000203,"08:35, 14 October 2023",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
31717915,"20:55, 17 June 2023",Rainy M,False,deletion,active,,-6,
31705316,"18:21, 12 June 2023",R2_d2000,False,cleanup,active,,-5,"(fixing a grammar error, making article more inclusive)"
31565552,"19:14, 25 April 2023",Agere Baby,False,revert,active,,-330,(RCP reverted edits by 44.204.216.89 (talk) to  revision #31109753 by 204.57.107.244)
31565459,"18:44, 25 April 2023",44.204.216.89,False,addition,reverted,Agere Baby,330,
31109753,"06:33, 27 November 2022",204.57.107.244,False,deletion,reverted,Agere Baby,-3,
31109750,"06:33, 27 November 2022",204.57.107.244,False,addition,reverted,Agere Baby,3,
31058901,"01:38, 10 November 2022",67.80.17.3,False,addition,active,,8,
31055309,"16:27, 8 November 2022",L33Tech,False,revert,active,,-197,(RCP reverted edits by 18.118.37.47 (talk) to  revision #30758927 by Votebot)
31055007,"15:35, 8 November 2022",18.118.37.47,False,addition,reverted,L33Tech,197,
30758927,"08:54, 6 August 2022",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
30677013,"08:54, 6 July 2022",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
30440413,"09:04, 4 April 2022",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
30430234,"16:17, 30 March 2022",Agusbou2015,False,revert,active,,398,(RCP reverted edits by 162.17.104.62 (talk) to  revision #30261289 by Votebot)
30429995,"15:44, 30 March 2022",162.17.104.62,False,deletion,reverted,Agusbou2015,-398,
30261289,"10:04, 1 February 2022",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
30174585,"09:56, 1 January 2022",Votebot,False,adjustment,reverted,Diego.G.Jr,0,(reordering tips and warnings based on votes)
