Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33353994,"11:01, 27 April 2025",MiscBot,False,deletion,active,,-63,(Automatic external link checking: updating and/or deleting links that are broken)
33178691,"18:37, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33077241,"21:15, 18 January 2025",WikiHow Horizon 3,False,addition,active,,5,(http ► https)
32872581,"19:50, 20 October 2024",172.59.216.104,False,addition,active,,1,
32412353,"10:50, 4 April 2024",Wikivisual,False,addition,active,,322,(Saving new step-by-step photos)
32102219,"19:38, 28 November 2023",Thomas_Ch,False,revert,active,,299,(Expert Interview Section added.)
32081837,"20:35, 19 November 2023",Seymour Edits,False,deletion,active,,-23,(Added Expert Citations)
32081819,"20:07, 19 November 2023",Seymour Edits,False,addition,active,,84,(Added Expert Citations)
31525430,"03:17, 13 April 2023",73.74.191.179,False,deletion,active,,-3,
29837542,"09:02, 26 August 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29672308,"08:59, 21 June 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29517648,"10:17, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-43,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27695367,"18:16, 6 February 2020",Caitlynn L,False,cleanup,active,,-2,(helping WikiHaus Trainee - minor grammar)
27688904,"23:55, 5 February 2020",WikiHaus Trainee,False,addition,active,,17,(adding relevant wikiHow link)
27569644,"10:53, 8 January 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27536669,"06:17, 30 December 2019",Nanjira W Javan,False,addition,active,,35,(Adding video via video picker tool)
26672755,"23:31, 12 June 2019",Anna,False,revert,active,,-22,(RCP reverted edits by Ravenwolf123 (talk) to  revision #26430183 by Seymour Edits)
26671134,"13:07, 12 June 2019",Ravenwolf123,False,addition,reverted,Anna,22,
26430183,"02:33, 17 April 2019",Seymour Edits,False,sourcing,reverted,Anna,548,(Added sources for the wikihaus content team)
26305226,"03:34, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24786256,"06:14, 21 June 2018",Seymour Edits,False,addition,reverted,Anna,129,(Added the Summary template to this article)
24603806,"03:13, 18 May 2018",RedirectsBot,False,addition,active,,2,(Updating link to point directly to article instead of redirect)
24450882,"13:22, 27 April 2018",Anna,False,deletion,active,,-143,(Last best)
