Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33184858,"19:59, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
30873059,"00:02, 13 September 2022",JayneG,False,revert,active,,43,(Reverted edits by Winterbug (Talk); changed back to last version by Seymour Edits)
30872636,"18:57, 12 September 2022",Winterbug,False,revert,reverted,JayneG,-43,(RCP reverted edits by Seymour Edits (talk) to  revision #30443646 by Wikivisual)
30872613,"18:42, 12 September 2022",Seymour Edits,False,addition,reverted,JayneG,43,(Added Expert Citations for the Lookback project.)
30443646,"10:05, 5 April 2022",Wikivisual,False,addition,reverted,Winterbug,457,(Saving new step-by-step photos)
30132373,"18:00, 12 December 2021",WikiHow Projects,False,deletion,active,,-7,(Moving article from category to be deleted)
28252526,"19:19, 15 June 2020",OLGA VALENCIA,False,addition,active,,45,(Adding video via video picker tool)
27041367,"07:21, 6 September 2019",ExoticComet,False,deletion,active,,-6,(improving apostrophe consistency)
26905876,"20:39, 5 August 2019",Wikiphoto,False,addition,active,,45,(added greenboxes to M1)
26303561,"03:21, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25921326,"07:28, 23 January 2019",WikiHowUser20230227233914,False,revert,active,,-39,(RCP reverted edits by 36.84.65.70 (talk) to  revision #25568440 by Votebot)
25921195,"06:36, 23 January 2019",36.84.65.70,False,deletion,reverted,WikiHowUser20230227233914,-15,
25921185,"06:32, 23 January 2019",36.84.65.1,False,addition,active,,54,
25568440,"10:17, 9 November 2018",Votebot,False,addition,reverted,WikiHowUser20230227233914,1,(reordering tips and warnings based on votes)
25521375,"14:51, 1 November 2018",Wikivisual,False,major_addition,reverted,Winterbug,573,(Saving new step-by-step photos)
25474032,"22:52, 23 October 2018",Seymour Edits,False,addition,reverted,JayneG,138,(Added the Summary template to this article)
25433416,"01:52, 17 October 2018",Seymour Edits,False,addition,reverted,JayneG,348,
25430313,"16:20, 16 October 2018",Anna,False,addition,active,,41,
25427222,"02:04, 16 October 2018",Seymour Edits,False,major_addition,reverted,JayneG,1750,(Added detail and revised the article for accuracy.)
25385308,"09:11, 9 October 2018",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
25167959,"03:13, 31 August 2018",RedirectsBot,False,addition,active,,5,(Updating link to point directly to article instead of redirect)
24477747,"18:09, 30 April 2018",Anna,False,deletion,active,,-7,(this change seems good)
24451011,"13:55, 27 April 2018",SarahB,False,revert,active,,7,(RCP reverted edits by NY Blossom (talk) to  revision #24384025 by Votebot)
