Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33181163,"19:10, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32793086,"01:01, 19 September 2024",WikiHow Horizon,False,deletion,active,,-95,(Removing broken link/s)
32767826,"15:33, 7 September 2024",WikiHow Horizon,False,addition,active,,1,(Updated link/s)
32227872,"17:52, 22 January 2024",WikiHow Horizon,False,addition,active,,96,(Update link/s)
31588322,"00:34, 3 May 2023",WikiHow Projects,False,deletion,active,,-70,(removing broken link)
31566784,"07:06, 26 April 2023",WikiHow Projects,False,deletion,active,,-177,(removing broken link)
26257550,"23:50, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26237257,"01:02, 27 March 2019",WikiHow Projects,False,deletion,active,,-133,(removing broken link)
23945326,"19:11, 29 January 2018",Midnight Dreams,False,revert,active,,5992,(RCP reverted edits by 173.255.31.122 (talk) to  revision #21291716 by Flickety)
23945273,"19:01, 29 January 2018",173.255.31.122,False,major_deletion,reverted,Midnight Dreams,-5992,(Removing all content from page)
21291716,"23:15, 6 November 2016",Flickety,False,deletion,reverted,Midnight Dreams,-2,(Switch to appropriate category)
18945721,"09:51, 27 November 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18285860,"08:37, 23 August 2015",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
16646367,"03:23, 14 February 2015",Kamilla Shire,False,deletion,active,,-34,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
16645316,"22:48, 13 February 2015",Anna,False,deletion,active,,-21,(Adding video via Video Adder tool)
16382709,"14:06, 15 January 2015",Wikivisual,False,addition,active,,267,(Saving new step-by-step photos)
16075761,"20:32, 5 December 2014",Donagan,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
16012015,"23:53, 27 November 2014",Tara starset,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
15998445,"15:44, 26 November 2014",Dr. Carrie,False,cleanup,active,,-2,(fixing formatting issue)
15998435,"15:43, 26 November 2014",Dr. Carrie,False,sourcing,active,,4488,(significant expansion with multiple parts and new sources)
12768160,"23:08, 21 February 2014",Ttrimm,False,deletion,active,,-24,(editing article via New Article Boost feature)
12738036,"19:01, 19 February 2014",Anna,False,cleanup,active,,30,(basic formatting)
12736160,"15:31, 19 February 2014",JillianPress,False,addition,active,,37,(categorization)
12735567,"14:37, 19 February 2014",Heee_no,False,addition,active,,66,
12735546,"14:34, 19 February 2014",The Daily Flows,False,addition,active,,24,(Quick edit while patrolling)
12735533,"14:33, 19 February 2014",Heee_no,False,major_addition,active,,1166,(Creating new article)
