Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33185252,"20:05, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
29991563,"02:56, 21 October 2021",MiscBot,False,deletion,active,,-12,(Automatic category consolidation.)
26337523,"06:50, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26201015,"11:00, 19 March 2019",MiscBot,False,sourcing,active,,-320,(Automatic link maintenance: cleaning up links to references that are broken)
25362313,"10:57, 5 October 2018",Flickety,False,addition,active,,3,(Change to appropriate sub-category)
23138059,"23:27, 31 August 2017",WikiHow Expert Review,False,addition,active,,96,(Incorporating expert feedback)
20355085,"09:49, 5 June 2016",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
20167803,"03:32, 7 May 2016",Wikivisual,False,major_addition,active,,528,(Saving new step-by-step photos)
19770297,"22:34, 6 March 2016",Seymour Edits,False,major_addition,active,,1900,
19610942,"00:56, 10 February 2016",Seymour Edits,False,sourcing,active,,10477,(Reworked intro; expanded into parts; added steps; added bullets to each step; added tips and warnings; added references and a ref list.)
18073727,"23:45, 28 July 2015",MiscBot,False,deletion,active,,-140,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17924087,"01:53, 25 July 2015",InterwikiBot,False,deletion,active,,-66,"(Removing interwiki links, no longer needed in wikitext)"
17875141,"22:04, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
11209137,"17:31, 24 September 2013",Wikiphoto,False,addition,active,,91,(Enlarging and centering Steps photos)
11209136,"17:31, 24 September 2013",Wikiphoto,False,major_addition,active,,590,(Saving new step-by-step photos)
10544044,"18:53, 22 July 2013",JadeDavis,False,addition,active,,1,(Edits from the spell checker tool)
9763834,"07:43, 1 May 2013",Gaurangprasad,False,revert,active,,-76,(Reverted edits by Rana1 (Talk); changed back to last version by InterwikiBot)
9763723,"07:19, 1 May 2013",Rana1,False,addition,reverted,Gaurangprasad,76,(Edit via Image Picker: Added an image)
9343638,"07:05, 5 March 2013",InterwikiBot,False,addition,reverted,Gaurangprasad,39,(Adding interwiki link)
9338158,"04:32, 5 March 2013",InterwikiBot,False,deletion,reverted,Gaurangprasad,-2,(Adding interwiki link)
8652413,"20:40, 30 October 2012",BR,False,revert,active,,-49,(Reverted edits by Compacjj (Talk); changed back to last version by IShareMahKnowledgeWisely)
8652300,"20:14, 30 October 2012",Compacjj,False,addition,reverted,BR,49,(Edit via Image Picker: Added an image)
8058379,"10:12, 9 July 2012",IShareMahKnowledgeWisely,False,revert,reverted,BR,3035,(Reverted edits by P 0ssessi0n (Talk); changed back to last version by Grahamster)
8057641,"07:20, 9 July 2012",P 0ssessi0n,False,major_deletion,reverted,IShareMahKnowledgeWisely,-3035,(→‎Steps)
7502596,"20:10, 28 March 2012",Grahamster,False,revert,reverted,IShareMahKnowledgeWisely,-47,(Reverted edits by Tom Beelen (Talk); changed back to last version by WikiHow Traduce)
7502403,"19:43, 28 March 2012",Tom Beelen,False,addition,reverted,Grahamster,47,(Edit via Image Picker: Added an image)
6653910,"19:55, 20 September 2011",WikiHow Traduce,False,addition,reverted,Grahamster,29,
6509119,"05:05, 16 August 2011",Tiagoroth,False,revert,active,,-116,(Reverted edits by Elocina (Talk); changed back to last version by BR)
6509079,"04:47, 16 August 2011",Elocina,False,addition,reverted,Tiagoroth,116,(Edit via Image Picker: Added an image)
5285361,"02:10, 20 November 2010",BR,False,revert,reverted,Tiagoroth,-53,(Reverted edits by Jeser101 (Talk); changed back to last version by Carolyn Barratt)
5285266,"01:52, 20 November 2010",Jeser101,False,addition,reverted,BR,53,(Added Image using ImageAdder Tool)
5110958,"15:09, 7 October 2010",Carolyn Barratt,False,addition,reverted,BR,36,(categorization)
5105465,"22:23, 5 October 2010",Krystle,False,deletion,active,,-166,(editing article via New Article Boost feature)
5103232,"06:45, 5 October 2010",BusyMothers,False,major_addition,active,,3966,(Creating new article)
