Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34152993,"03:27, 21 March 2026",UnitGuardian,False,addition,active,,30,(Adding conversion template)
33183260,"19:38, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32219550,"02:43, 19 January 2024",WikiHow Projects,False,deletion,active,,-81,(removing broken link)
31387562,"03:38, 25 February 2023",Hakangul,False,addition,active,,42,(Adding video via video picker tool)
31384848,"04:41, 24 February 2023",MiscBot,False,deletion,active,,-46,(Removed broken YouTube video)
31327649,"05:13, 5 February 2023",WikiHow Projects,False,deletion,active,,-178,(removing broken link)
29496085,"21:00, 29 April 2021",Seymour Edits,False,deletion,active,,-305,(Moved expert ref to Q&A)
28610763,"23:32, 13 September 2020",WikiHow Projects,False,deletion,active,,-75,(removing broken link)
28457491,"09:52, 6 August 2020",RelatedWikihowsBot,False,deletion,active,,-60,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28110404,"17:05, 13 May 2020",Wikivisual,False,deletion,active,,-289,(Saving new step-by-step photos)
27636306,"00:10, 24 January 2020",Kitkat07,False,addition,active,,13,(Updated green box.)
27444142,"18:39, 4 December 2019",Britte,False,deletion,active,,-160,(Updated green box.)
26977692,"18:23, 22 August 2019",Hapayne,False,addition,active,,455,(Updated green box.)
26977690,"18:23, 22 August 2019",Hapayne,False,deletion,active,,-454,(Updated green box.)
26774313,"23:28, 8 July 2019",WikiHow Expert Review,False,addition,active,,454,(Updated green box.)
26306922,"03:47, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25230376,"20:23, 12 September 2018",Seymour Edits,False,addition,active,,140,(Added the Summary template to this article)
24473248,"17:00, 30 April 2018",RedirectsBot,False,addition,active,,2,(Updating link to point directly to article instead of redirect)
22678859,"08:46, 24 June 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22275546,"08:41, 23 April 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21461115,"23:52, 6 December 2016",Flickety,False,deletion,active,,-9,(Switch to appropriate category)
20993899,"21:48, 20 September 2016",Flickety,False,addition,active,,26,(Add relevant sub-cat)
20800695,"08:58, 18 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20609888,"08:34, 18 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20216259,"17:03, 13 May 2016",Ngeisler,False,deletion,active,,-207,
20182998,"20:36, 9 May 2016",Wikiphoto,False,addition,active,,200,(Filling images)
20158976,"19:06, 5 May 2016",Wikivisual,False,addition,active,,240,(Saving new step-by-step photos)
20153246,"22:28, 4 May 2016",Wikiphoto,False,addition,active,,77,(Video added via Video Embed Helper Tool)
20148368,"02:51, 4 May 2016",Wikivisual,False,major_addition,active,,1358,(Saving new step-by-step photos)
20140753,"19:12, 2 May 2016",Ngeisler,False,addition,active,,328,"(edits for accuracy/helpfulness, prepping for video)"
19380372,"19:09, 11 January 2016",Anna,False,revert,active,,-1,(Reverted edits by Yadvendra (Talk); changed back to last version by RelatedWikihowsBot)
19378534,"15:09, 11 January 2016",Yadvendra,False,cleanup,reverted,Anna,1,(Fixing misspellings via the Spellchecker tool)
19358900,"03:41, 9 January 2016",RelatedWikihowsBot,False,deletion,reverted,Anna,-37,(Removing redundant wikitext from Related wikiHows section)
18094477,"07:32, 29 July 2015",MiscBot,False,deletion,active,,-224,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17963322,"18:57, 27 July 2015",InterwikiBot,False,deletion,active,,-104,"(Removing interwiki links, no longer needed in wikitext)"
17851896,"20:56, 20 July 2015",MiscBot,False,cleanup,active,,2,(Correcting spelling and/or grammar.)
17570499,"13:25, 10 June 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17074050,"13:19, 9 April 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15809174,"15:13, 5 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15476835,"18:41, 27 September 2014",InterwikiBot,False,addition,active,,56,(Adding interwiki link)
15105848,"18:37, 18 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13968648,"03:20, 19 June 2014",CelesteTu,False,addition,active,,97,(Adding related wikihow from NAB)
13288758,"16:33, 13 April 2014",InterwikiBot,False,addition,active,,48,(Adding interwiki link)
12187084,"16:06, 22 December 2013",Wikiphoto,False,addition,active,,145,(Enlarging and centering Steps photos)
12187083,"16:06, 22 December 2013",Wikiphoto,False,major_addition,active,,740,(Saving new step-by-step photos)
11149220,"16:14, 18 September 2013",199.168.85.22,False,adjustment,active,,0,(→‎Steps)
10972999,"15:52, 31 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10191042,"08:33, 15 June 2013",Katieeh,False,addition,active,,46,(Adding video via video picker tool)
9788710,"16:00, 3 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9185555,"02:01, 10 February 2013",Rosejuice,False,addition,active,,143,(Edit via Image Picker: Added an image)
9171175,"00:34, 8 February 2013",BR,False,revert,active,,-73,(Reverted edits by Imen Faith (Talk); changed back to last version by Dubeedu)
9171067,"23:57, 7 February 2013",Imen Faith,False,addition,reverted,BR,73,(Edit via Image Picker: Added an image)
9170978,"23:24, 7 February 2013",Dubeedu,False,addition,reverted,BR,31,(categorization)
9162585,"13:00, 6 February 2013",WRM,False,major_addition,active,,5931,(Creating new article)
