Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34022221,"21:37, 30 January 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Use Wire Strippers"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33181848,"19:19, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32106943,"15:28, 30 November 2023",WikiHow Horizon 3,False,deletion,active,,-144,(Deleted link/s)
30118237,"19:36, 6 December 2021",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
30080520,"20:11, 21 November 2021",Wikivisual,False,addition,active,,253,(Saving new step-by-step photos)
26561279,"21:28, 16 May 2019",WikiHow Expert Review,False,deletion,active,,-141,(Incorporating expert feedback)
26346878,"07:47, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26005749,"23:01, 8 February 2019",Seymour Edits,False,addition,active,,137,(Added the Summary template to this article)
23852653,"22:41, 12 January 2018",Wikivisual,False,major_addition,active,,743,(Saving new step-by-step photos)
23120238,"20:43, 28 August 2017",Seymour Edits,False,cleanup,active,,15,(Review - fixed a few typos.)
23120188,"20:32, 28 August 2017",Seymour Edits,False,major_addition,active,,1009,(Editing language.)
23119693,"18:47, 28 August 2017",Seymour Edits,False,major_addition,active,,2272,(Changing to methods.)
23112848,"18:47, 27 August 2017",Rebecca Procter,False,addition,active,,48,(categorization)
23111636,"14:44, 27 August 2017",WRM,False,major_addition,active,,4538,(Creating article.)
