Contribution_Intent,Gender,Total_Count,Accepted_Count,Rejected_Count,Rejected_Rate_%
VANDALISM (vand),Male,650,5,645,99.2
VANDALISM (vand),Female,120,2,118,98.3
VANDALISM (vand),Non-Binary,15,0,15,100.0
VANDALISM (vand),Unknown,665,23,642,96.5
NON_GENUINE_SARCASM,Male,280,10,270,96.4
NON_GENUINE_SARCASM,Female,50,1,49,98.0
NON_GENUINE_SARCASM,Unknown,90,10,80,88.8
SPAM_PROMOTIONAL,Male,400,2,398,99.5
SPAM_PROMOTIONAL,Female,200,4,196,98.0
SPAM_PROMOTIONAL,Unknown,290,7,283,97.5
MAINTENANCE_GATEKEEPING_TARGET,Female,600,60,540,90.0
MAINTENANCE_GATEKEEPING_TARGET,Unknown,450,100,350,77.7
MAINTENANCE_GATEKEEPING_TARGET,Male,200,35,165,82.5
GENDER_GATEKEEPING_TARGET,Non-Binary,180,5,175,97.2
GENDER_GATEKEEPING_TARGET,Female,120,10,110,91.6
GENDER_GATEKEEPING_TARGET,Male,40,13,27,67.5
