Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34095391,"19:29, 19 February 2026",MiscBot,False,deletion,active,,-155,(Removing Related Articles section)
34079707,"02:28, 19 February 2026",MiscBot,False,revert,active,,157,(Reverting the Related Articles section removal)
34063854,"19:17, 18 February 2026",MiscBot,False,deletion,active,,-157,(Removing Related Articles section)
31299140,"09:47, 28 January 2023",WikiHow Projects,False,deletion,active,,-29,(fixing internal links)
31278504,"11:02, 20 January 2023",WikiHow Projects,False,deletion,active,,-86,(Adding internal links)
27057693,"03:04, 10 September 2019",Seymour Edits,False,sourcing,active,,424,(Added sources and a reflist for the wikihaus content team.)
22804990,"10:47, 8 July 2017",HumanBeing,False,addition,active,,1,(Quick edit while patrolling)
22804614,"09:12, 8 July 2017",SarahB,False,revert,active,,-58,(RCP reverted edits by Fairy Fandoms (talk) to  revision #19290907 by RelatedWikihowsBot)
22801663,"20:17, 7 July 2017",They Who Edit Articles,False,addition,active,,58,(Adding video via Video Adder tool)
19290907,"08:24, 8 January 2016",RelatedWikihowsBot,False,deletion,reverted,SarahB,-141,(Removing redundant wikitext from Related wikiHows section)
18030452,"15:20, 28 July 2015",MiscBot,False,deletion,active,,-84,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
15857431,"17:35, 10 November 2014",MiscBot,False,addition,active,,62,(Adding conversion template.)
10733272,"10:28, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10494041,"22:58, 16 July 2013",Wikiphoto,False,deletion,active,,-51,(Adding {{nointroimg}} template and removing intro images)
10462254,"12:42, 13 July 2013",Wikiphoto,False,addition,active,,55,(Enlarging and centering Steps photos)
10462253,"12:42, 13 July 2013",Wikiphoto,False,addition,active,,131,(Saving new step-by-step photos)
5517553,"06:54, 21 January 2011",Flickety,False,deletion,active,,-25,
5517552,"06:53, 21 January 2011",Flickety,False,major_addition,active,,2386,"(categorization, Creating new article, weaving the web of links)"
