Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32863968,"17:51, 16 October 2024",Wikivisual,False,addition,active,,92,(Saving new step-by-step photos)
32630996,"13:47, 6 July 2024",WikiHow Projects,False,addition,active,,47,(Adding video via Video Adder tool)
32249432,"18:46, 31 January 2024",ToddTheGuy120,False,revert,active,,60,(RCP reverted edits by 64.158.84.166 (talk) to  revision #31794887 by Thomas_Ch)
32249231,"17:23, 31 January 2024",64.158.84.166,False,deletion,reverted,ToddTheGuy120,-60,
31794887,"23:54, 18 July 2023",Thomas_Ch,False,revert,reverted,ToddTheGuy120,309,(Expert Interview Section added.)
31745536,"20:44, 27 June 2023",Seymour Edits,False,addition,active,,39,(Added Expert Citation)
30631308,"05:37, 17 June 2022",Seymour Edits,False,cleanup,active,,26,(Switching article to list formatting and editing intro)
30426554,"10:05, 29 March 2022",70.162.236.66,False,addition,active,,2,
28543873,"12:30, 29 August 2020",86.186.146.188,False,adjustment,active,,0,
28543866,"12:28, 29 August 2020",86.186.146.188,False,deletion,active,,-13,
27173636,"00:09, 5 October 2019",Seymour Edits,False,sourcing,active,,-68,(Added sources for the wikihaus content team)
27155953,"00:24, 1 October 2019",Seymour Edits,False,sourcing,active,,802,(Added sources for the wikihaus content team)
25181293,"10:35, 3 September 2018",49.151.85.98,False,deletion,active,,-11,
25034392,"15:15, 6 August 2018",Aiosis,False,revert,active,,20,(Reverted edits by 141.226.9.115 (Talk); changed back to last version by Wikivisual)
25034382,"15:13, 6 August 2018",141.226.9.115,False,deletion,reverted,Aiosis,-20,
24021721,"16:21, 12 February 2018",Wikivisual,False,addition,reverted,Aiosis,491,(Saving new step-by-step photos)
21291980,"00:18, 7 November 2016",Flickety,False,addition,active,,4,(Switch to appropriate category)
17637488,"05:29, 19 June 2015",Ttrimm,False,adjustment,active,,0,(editing article via New Article Boost feature)
13952559,"20:53, 17 June 2014",J_Murp,False,addition,active,,48,(categorization)
13938474,"16:21, 16 June 2014",Anna,False,sourcing,active,,-69,"(format, rm nonsource link - will reach out to see if author has an article source)"
13937083,"13:06, 16 June 2014",Megaelectronics,False,major_addition,active,,3077,(Creating a new article via the Article Creator)
