Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33181160,"19:09, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32684616,"17:19, 29 July 2024",WikiHow Horizon 3,False,addition,active,,2,(http ► https)
32425698,"03:09, 10 April 2024",WikiHow Projects,False,deletion,active,,-4,(updating link)
30038938,"18:39, 5 November 2021",Seymour Edits,False,cleanup,active,,0,(Fixing typo.)
29885468,"18:12, 14 September 2021",Seymour Edits,False,addition,active,,152,(Added expert citations.)
29702098,"11:43, 1 July 2021",MiscBot,False,deletion,active,,-6,(Automatic category consolidation.)
26993648,"09:48, 27 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26647610,"08:35, 6 June 2019",RelatedWikihowsBot,False,deletion,active,,-23,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26349522,"08:05, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25489572,"16:42, 26 October 2018",Seymour Edits,False,deletion,active,,-13,(removed bad link)
25489557,"16:40, 26 October 2018",Seymour Edits,False,addition,active,,13,(Weaving the Web of Links)
25485496,"18:37, 25 October 2018",Upnorth Here,False,addition,active,,497,(→‎Steps:  add details to cable types and where certain types are prohibited)
25086617,"04:46, 16 August 2018",Seymour Edits,False,addition,active,,144,(Added the Summary template to this article)
23879309,"05:00, 18 January 2018",WikiHow Intern,False,deletion,active,,-13,(Change to appropriate sub-category)
22698333,"22:06, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-31,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22220256,"03:38, 13 April 2017",Anna,False,revert,active,,-89,(Reverted edits by 196.64.48.198 (Talk); changed back to last version by Votebot)
22220247,"03:33, 13 April 2017",196.64.48.198,False,addition,reverted,Anna,89,
21263005,"08:40, 2 November 2016",Votebot,False,adjustment,reverted,Anna,0,(reordering tips and warnings based on votes)
21199490,"15:20, 23 October 2016",WikihowSaver,False,revert,active,,0,(RCP reverted edits by Aharmon600 (talk) to  revision #20323033 by Votebot)
21199477,"15:16, 23 October 2016",Aharmon600,False,revert,reverted,WikihowSaver,0,(Undid edit #21199475 by Aharmon600 (Talk))
21199475,"15:15, 23 October 2016",Aharmon600,False,revert,reverted,WikihowSaver,0,(Reverted edits by Votebot (Talk); changed back to last version by Todd Royce)
21059719,"08:31, 2 October 2016",Votebot,False,adjustment,reverted,Anna,0,(reordering tips and warnings based on votes)
20323033,"08:38, 31 May 2016",Votebot,False,adjustment,reverted,Anna,0,(reordering tips and warnings based on votes)
20146144,"19:12, 3 May 2016",Todd Royce,False,sourcing,reverted,Aharmon600,34,(→‎Sources and Citations:  updating source for videos)
20143573,"08:32, 3 May 2016",Votebot,False,adjustment,reverted,Anna,0,(reordering tips and warnings based on votes)
20140541,"18:24, 2 May 2016",Todd Royce,False,sourcing,reverted,Aharmon600,-25,(→‎Sources and Citations:  updating source for videos)
20122672,"14:47, 29 April 2016",Josh Cockrell,False,addition,active,,24,(Adjusted the new link for the video creators.)
